source_drug_index,target_drug_index,original_similarity,task_similarity,kg_similarity,edge_origin
38,1,0.0,,0.9246351769434363,ORIGINAL
38,2,0.0,1.0000000000000002,0.9390073894927917,ORIGINAL
38,3,0.0,1.0000000000000002,0.9530605263464157,ORIGINAL
38,4,0.0,,0.9246351769434363,ORIGINAL
38,5,0.0,,0.9246351769434363,ORIGINAL
38,6,0.0,,0.9144329271717845,ORIGINAL
38,7,0.0,,0.9246351769434363,ORIGINAL
38,8,0.0,,0.9246351769434363,ORIGINAL
39,0,0.0,-0.2886751345948129,0.9806790805725801,ORIGINAL
39,1,0.0,0.629940788348712,0.9806790805725801,ORIGINAL
39,2,0.0,0.8944271909999159,0.9341955204820873,ORIGINAL
39,3,0.0,0.8176298175326768,0.9453174394304682,ORIGINAL
39,4,0.0,0.8528028654224419,0.9806790805725801,ORIGINAL
39,5,0.0,0.7468160448149386,0.9806790805725801,ORIGINAL
39,6,0.0,0.7692307692307694,0.9561958104880408,ORIGINAL
39,7,0.0,0.8964214570007952,0.9806790805725801,ORIGINAL
39,8,0.0,0.890870806374748,0.9806790805725801,ORIGINAL
39,9,0.0,0.5345224838248488,0.9806790805725801,ORIGINAL
40,0,0.0,,0.9487238660456732,ORIGINAL
40,1,0.0,0.9428090415820635,0.9487238660456732,ORIGINAL
40,2,0.0,1.0,0.8891044140773785,ORIGINAL
40,3,0.0,1.0,0.9153603163718335,ORIGINAL
40,4,0.0,,0.9487238660456732,ORIGINAL
40,5,0.0,0.9486832980505138,0.9487238660456732,ORIGINAL
40,6,0.0,0.9428090415820632,0.9216289035166967,ORIGINAL
40,7,0.0,0.944911182523068,0.9487238660456732,ORIGINAL
40,8,0.0,0.8528028654224417,0.9487238660456732,ORIGINAL
40,9,0.0,0.9428090415820635,0.9487238660456732,ORIGINAL
41,0,0.0,,0.9787128262576937,ORIGINAL
41,1,0.0,0.9486832980505138,0.9787128262576937,ORIGINAL
41,2,0.0,0.8660254037844386,0.9352165820534446,ORIGINAL
41,3,0.0,0.9058216273156767,0.9507984093464296,ORIGINAL
41,4,0.0,0.9999999999999998,0.9787128262576937,ORIGINAL
41,5,0.0,1.0000000000000002,0.9787128262576937,ORIGINAL
41,6,0.0,0.6154574548966638,0.9503441910853968,ORIGINAL
41,7,0.0,,0.9787128262576937,ORIGINAL
41,8,0.0,0.9428090415820635,0.9787128262576937,ORIGINAL
41,9,0.0,,0.9787128262576937,ORIGINAL
42,0,0.0,,0.9420432252655582,ORIGINAL
42,1,0.0,0.9999999999999998,0.9420432252655582,ORIGINAL
