matrix_index,biokorf_drug_id,graph_node_index,has_kg_connection
311,BIOKORF_DRUG_311,311,True
312,BIOKORF_DRUG_312,312,True
313,BIOKORF_DRUG_313,313,True
314,BIOKORF_DRUG_314,314,True
315,BIOKORF_DRUG_315,315,True
316,BIOKORF_DRUG_316,316,True
317,BIOKORF_DRUG_317,317,True
318,BIOKORF_DRUG_318,318,True
319,BIOKORF_DRUG_319,319,True
320,BIOKORF_DRUG_320,320,True
321,BIOKORF_DRUG_321,321,True
322,BIOKORF_DRUG_322,322,True
323,BIOKORF_DRUG_323,323,True
324,BIOKORF_DRUG_324,324,True
325,BIOKORF_DRUG_325,325,True
326,BIOKORF_DRUG_326,326,True
327,BIOKORF_DRUG_327,327,True
328,BIOKORF_DRUG_328,328,True
329,BIOKORF_DRUG_329,329,True
330,BIOKORF_DRUG_330,330,True
331,BIOKORF_DRUG_331,331,True
332,BIOKORF_DRUG_332,332,True
333,BIOKORF_DRUG_333,333,True
334,BIOKORF_DRUG_334,334,True
335,BIOKORF_DRUG_335,335,True
336,BIOKORF_DRUG_336,336,True
337,BIOKORF_DRUG_337,337,True
338,BIOKORF_DRUG_338,338,True
339,BIOKORF_DRUG_339,339,True
340,BIOKORF_DRUG_340,340,True
341,BIOKORF_DRUG_341,341,True
342,BIOKORF_DRUG_342,342,True
343,BIOKORF_DRUG_343,343,True
344,BIOKORF_DRUG_344,344,True
345,BIOKORF_DRUG_345,345,True
346,BIOKORF_DRUG_346,346,True
347,BIOKORF_DRUG_347,347,True
348,BIOKORF_DRUG_348,348,True
349,BIOKORF_DRUG_349,349,True
350,BIOKORF_DRUG_350,350,True
351,BIOKORF_DRUG_351,351,True
352,BIOKORF_DRUG_352,352,True
353,BIOKORF_DRUG_353,353,True
354,BIOKORF_DRUG_354,354,True
355,BIOKORF_DRUG_355,355,True
356,BIOKORF_DRUG_356,356,True
357,BIOKORF_DRUG_357,357,True
358,BIOKORF_DRUG_358,358,True
359,BIOKORF_DRUG_359,359,True
360,BIOKORF_DRUG_360,360,True
361,BIOKORF_DRUG_361,361,True
362,BIOKORF_DRUG_362,362,True
363,BIOKORF_DRUG_363,363,True
364,BIOKORF_DRUG_364,364,True
365,BIOKORF_DRUG_365,365,True
366,BIOKORF_DRUG_366,366,True
367,BIOKORF_DRUG_367,367,True
368,BIOKORF_DRUG_368,368,False
369,BIOKORF_DRUG_369,369,True
370,BIOKORF_DRUG_370,370,True
371,BIOKORF_DRUG_371,371,True
372,BIOKORF_DRUG_372,372,True
373,BIOKORF_DRUG_373,373,True
