matrix_index,biokorf_side_id,graph_node_index,has_kg_connection
564,BIOKORF_SIDE_564,1321,True
565,BIOKORF_SIDE_565,1322,False
566,BIOKORF_SIDE_566,1323,False
567,BIOKORF_SIDE_567,1324,True
568,BIOKORF_SIDE_568,1325,False
569,BIOKORF_SIDE_569,1326,False
570,BIOKORF_SIDE_570,1327,False
571,BIOKORF_SIDE_571,1328,False
572,BIOKORF_SIDE_572,1329,False
573,BIOKORF_SIDE_573,1330,True
574,BIOKORF_SIDE_574,1331,False
575,BIOKORF_SIDE_575,1332,False
576,BIOKORF_SIDE_576,1333,True
577,BIOKORF_SIDE_577,1334,False
578,BIOKORF_SIDE_578,1335,False
579,BIOKORF_SIDE_579,1336,False
580,BIOKORF_SIDE_580,1337,False
581,BIOKORF_SIDE_581,1338,True
582,BIOKORF_SIDE_582,1339,False
583,BIOKORF_SIDE_583,1340,False
584,BIOKORF_SIDE_584,1341,False
585,BIOKORF_SIDE_585,1342,False
586,BIOKORF_SIDE_586,1343,True
587,BIOKORF_SIDE_587,1344,False
588,BIOKORF_SIDE_588,1345,True
589,BIOKORF_SIDE_589,1346,False
590,BIOKORF_SIDE_590,1347,True
591,BIOKORF_SIDE_591,1348,True
592,BIOKORF_SIDE_592,1349,False
593,BIOKORF_SIDE_593,1350,False
594,BIOKORF_SIDE_594,1351,True
595,BIOKORF_SIDE_595,1352,False
596,BIOKORF_SIDE_596,1353,False
597,BIOKORF_SIDE_597,1354,False
598,BIOKORF_SIDE_598,1355,True
599,BIOKORF_SIDE_599,1356,True
600,BIOKORF_SIDE_600,1357,False
601,BIOKORF_SIDE_601,1358,False
602,BIOKORF_SIDE_602,1359,True
603,BIOKORF_SIDE_603,1360,False
604,BIOKORF_SIDE_604,1361,False
605,BIOKORF_SIDE_605,1362,True
606,BIOKORF_SIDE_606,1363,False
607,BIOKORF_SIDE_607,1364,True
608,BIOKORF_SIDE_608,1365,True
609,BIOKORF_SIDE_609,1366,False
610,BIOKORF_SIDE_610,1367,True
611,BIOKORF_SIDE_611,1368,False
612,BIOKORF_SIDE_612,1369,False
613,BIOKORF_SIDE_613,1370,True
614,BIOKORF_SIDE_614,1371,True
615,BIOKORF_SIDE_615,1372,False
616,BIOKORF_SIDE_616,1373,True
617,BIOKORF_SIDE_617,1374,True
618,BIOKORF_SIDE_618,1375,False
619,BIOKORF_SIDE_619,1376,False
620,BIOKORF_SIDE_620,1377,False
621,BIOKORF_SIDE_621,1378,True
622,BIOKORF_SIDE_622,1379,True
