flat_chemical_id	stereo_chemical_id	source_cid	inchikey
CIDm10000183	CIDs10000183	10000183	OOSITJIKTWVQFU-UHFFFAOYSA-N
CIDm10000184	CIDs10000184	10000184	FRXKFBSVKWDKEB-UHFFFAOYSA-N
CIDm10000185	CIDs10000185	10000185	HQEHPMXDPDVWPO-UHFFFAOYSA-N
CIDm10000186	CIDs10000186	10000186	DCLROYYJYVWECM-AWEZNQCLSA-N
CIDm10000187	CIDs10000187	10000187	YQQJSNXTQZMSST-UHFFFAOYSA-N
CIDm10000188	CIDs10000188	10000188	ODNZXAFDOUOVRR-UHFFFAOYSA-N
CIDm10000189	CIDs10000189	10000189	DFKFHXVEWVBNKO-UHFFFAOYSA-N
CIDm01000019	CIDs01000019	1000019	WPMMECULGBIXRU-UHFFFAOYSA-N
CIDm10000190	CIDs10000190	10000190	VHMIVWWFZOJFGI-YBXZHIRMSA-N
CIDm10000191	CIDs10000191	10000191	ORJUEHXQOBCAKN-INIZCTEOSA-N
CIDm10000192	CIDs10000192	10000192	DNALBUKNANVLGK-UHFFFAOYSA-N
CIDm10000193	CIDs10000193	10000193	DKAXHHAHHIYJLB-UHFFFAOYSA-N
CIDm10000194	CIDs10000194	10000194	QDNQLKMHZZPLKO-UHFFFAOYSA-N
CIDm10000195	CIDs10000195	10000195	JASZYZRAMAEZPW-UHFFFAOYSA-N
CIDm10000196	CIDs10000196	10000196	LXXOXXLOXMTUKU-UHFFFAOYSA-N
CIDm10000197	CIDs10000197	10000197	PVNXUCAAXXYFKB-UHFFFAOYSA-N
CIDm10000198	CIDs10000198	10000198	HCCDRIDPETVROZ-UHFFFAOYSA-N
CIDm10000199	CIDs10000199	10000199	JKELTRGSTQCLFR-UHFFFAOYSA-N
CIDm00100002	CIDs00100002	100002	CBWGBTDKXAPUMY-UHFFFAOYSA-N
CIDm01000020	CIDs01000020	1000020	DFOAKFFCNQTZRO-UHFFFAOYSA-N
CIDm10000200	CIDs10000200	10000200	TYBYHDWTKQRIRM-UHFFFAOYSA-N
CIDm10000201	CIDs10000201	10000201	MRMPCGUNMTWUMD-UHFFFAOYSA-N
CIDm10000202	CIDs10000202	10000202	AEXACQFSOVTIKV-UHFFFAOYSA-N
CIDm10000203	CIDs10000203	10000203	QSYREIYQBJHHSZ-UHFFFAOYSA-M
CIDm10000203	CIDs10000203	10000204	UPNHJMNPDLVSDQ-UHFFFAOYSA-N
CIDm10000205	CIDs10000205	10000205	GIJDBZIDQMZRAY-VIFPVBQESA-N
CIDm10000206	CIDs10000206	10000206	IXDAHPLEDYPEFV-FDYHWXHSSA-N
CIDm10000207	CIDs10000207	10000207	XWONLRYVYWUQEX-XBXARRHUSA-N
CIDm10000208	CIDs10000208	10000208	QHQSYRYCBWTRMH-UHFFFAOYSA-N
CIDm10000209	CIDs10000209	10000209	LHBKYPXHFBDMPV-UHFFFAOYSA-N
CIDm01000021	CIDs01000021	1000021	NMBGPUDENKCEAK-UHFFFAOYSA-N
CIDm10000210	CIDs10000210	10000210	OYRHGBRQFCJBSG-UHFFFAOYSA-N
CIDm10000211	CIDs10000211	10000211	JMMMGCYZWFLQIJ-UHFFFAOYSA-N
CIDm10000212	CIDs10000212	10000212	QZQUNPANFFNVKZ-UHFFFAOYSA-N
CIDm10000213	CIDs10000213	10000213	VBYNVJUPQIUGCH-UHFFFAOYSA-N
CIDm10000214	CIDs10000214	10000214	GFWYVFPNIVLALX-UHFFFAOYSA-N
CIDm10000215	CIDs10000215	10000215	LTVHDFSLRAWNPE-UHFFFAOYSA-N
CIDm10000216	CIDs10000216	10000216	LVPNUKROPARNRR-UHFFFAOYSA-N
CIDm10000217	CIDs10000217	10000217	FLTKACOSPVOXEN-UHFFFAOYSA-N
CIDm10000218	CIDs10000218	10000218	IVERHVPQUYUHQK-UHFFFAOYSA-N
CIDm10000219	CIDs10000219	10000219	SMKPZZYHPPCXNY-LBPRGKRZSA-N
CIDm01000022	CIDs01000022	1000022	XVFVSCJAFDVDQE-UHFFFAOYSA-N
CIDm10000220	CIDs10000220	10000220	ITPLTCJNLBCHHJ-MOPGFXCFSA-N
CIDm10000221	CIDs10000221	10000221	NCIVFQLVKWFVLQ-NFLUSIDLSA-N
CIDm10000222	CIDs10000222	10000222	SBCGDCBRWXAAIF-GWFMMRBDSA-N
CIDm10000223	CIDs10000223	10000223	XDHLYRVYQSNNPD-OGZBGPRWSA-N
CIDm10000224	CIDs10000224	10000224	SWUULUZYHKIEJR-UHFFFAOYSA-N
CIDm10000225	CIDs10000225	10000225	KAJZBSIAKZHGJC-AMQYRLFKSA-N
CIDm10000226	CIDs10000226	10000226	JBLCIQZBAQAMME-PKTZIBPZSA-N
CIDm10000227	CIDs10000227	10000227	MUNUGKOKGIPABU-UHFFFAOYSA-N
CIDm10000228	CIDs10000228	10000228	XQPBTMJOBDQLDC-UHFFFAOYSA-N
CIDm10000229	CIDs10000229	10000229	VEYHQOHTNSPLHR-UHFFFAOYSA-N
CIDm01000023	CIDs01000023	1000023	PIJHKXNCIFGEOG-UHFFFAOYSA-N
CIDm10000230	CIDs10000230	10000230	BWXKLDGFGGIXKH-UHFFFAOYSA-N
CIDm10000231	CIDs10000231	10000231	CNZVFVINLCRUFJ-UHFFFAOYSA-N
CIDm10000232	CIDs10000232	10000232	BMERQBULMMEJBR-UZLBHIALSA-N
CIDm10000233	CIDs10000233	10000233	HUSBLOAZNQURFJ-ZWMXCJQZSA-N
CIDm10000234	CIDs10000234	10000234	VKPFXAHEVAECFQ-POMFJLJYSA-N
CIDm10000235	CIDs10000235	10000235	SNTWEGBVGMCIOW-DJCSXWSQSA-N
CIDm10000236	CIDs10000236	10000236	JBJSHVXHXLZBLS-MISYRCLQSA-N
CIDm10000237	CIDs10000237	10000237	FQDBUPJBNWHCGR-UHFFFAOYSA-N
CIDm10000238	CIDs10000238	10000238	XOISNQGKACZMII-LYNBEELSSA-N
CIDm10000239	CIDs10000239	10000239	YMFHIFDRLGPZBN-IBGZPJMESA-N
CIDm01000024	CIDs01000024	1000024	JTRFAMAZFWZWDI-UHFFFAOYSA-N
CIDm10000240	CIDs10000240	10000240	MDKAMDTVLUWJFJ-UHFFFAOYSA-N
CIDm10000241	CIDs10000241	10000241	VLLGAMCDMKZSGL-GSKAWHTLSA-N
CIDm10000242	CIDs10000242	10000242	QOOVHWDLNKLVIF-UHFFFAOYSA-N
CIDm10000243	CIDs10000243	10000243	KXMVTFNAAUXKQZ-VMXHOPILSA-N
CIDm10000244	CIDs10000244	10000244	WVPQXGUUFMLTNE-UHFFFAOYSA-N
CIDm10000245	CIDs10000245	10000245	GLLISVBNLHIKRN-MRXNPFEDSA-N
CIDm10000246	CIDs10000246	10000246	DVKPHAYVHZCOAJ-UHFFFAOYSA-N
CIDm10000247	CIDs10000247	10000247	OLGUMCSFGJOIBY-UHFFFAOYSA-N
CIDm10000248	CIDs10000248	10000248	MBFZHXXGPNEHAQ-CHWFTXMASA-N
CIDm10000249	CIDs10000249	10000249	MRBIQYYNEJWTQF-UHFFFAOYSA-N
CIDm01000024	CIDs01000025	1000025	JTRFAMAZFWZWDI-LFYBBSHMSA-N
CIDm10000250	CIDs10000250	10000250	SENGSXAOHBTJLG-UHFFFAOYSA-N
CIDm10000251	CIDs10000251	10000251	CTXHPUFBWSTRJB-UHFFFAOYSA-N
CIDm10000252	CIDs10000252	10000252	FFFDWDFPKQBTIM-UHFFFAOYSA-N
CIDm10000253	CIDs10000253	10000253	HQOWZUGMLBQGTA-UHFFFAOYSA-N
CIDm10000254	CIDs10000254	10000254	NSDIQFRKBPQHEG-REZTVBANSA-N
CIDm00493223	CIDs10000255	10000255	SLDOTDVQNFUCHQ-IOSLPCCCSA-N
CIDm10000256	CIDs10000256	10000256	XPSAJOFXQXAFAT-UHFFFAOYSA-N
CIDm10000257	CIDs10000257	10000257	RSUIUCSMKBAQQM-SKFVREDRSA-N
