matrix_index,side_effect_name,sider_found,sider_pt_row_count,umls_cui_count,umls_cuis,matched_meddra_names,mapping_status
157,cardiac failure,True,153,1,"[""C0018801""]","[""Cardiac failure""]",unique_umls
158,cardiac failure congestive,True,110,1,"[""C0018802""]","[""Cardiac failure congestive""]",unique_umls
159,cardiac flutter,True,9,1,"[""C0016385""]","[""Cardiac flutter""]",unique_umls
160,cardiac murmur,True,21,1,"[""C0018808""]","[""Cardiac murmur""]",unique_umls
161,cardiac output decreased,True,11,1,"[""C0007166""]","[""Cardiac output decreased""]",unique_umls
162,cardiogenic shock,True,18,1,"[""C0036980""]","[""Cardiogenic shock""]",unique_umls
163,cardiac dilatation,False,0,0,[],[],unmatched
164,cardiomyopathy,True,26,1,"[""C0878544""]","[""Cardiomyopathy""]",unique_umls
165,cardiovascular disorder,True,62,1,"[""C0007222""]","[""Cardiovascular disorder""]",unique_umls
166,carpal tunnel syndrome,True,18,1,"[""C0007286""]","[""Carpal tunnel syndrome""]",unique_umls
167,cataract,True,109,1,"[""C0086543""]","[""Cataract""]",unique_umls
168,catheter site pain,True,9,1,"[""C0949103""]","[""Catheter site pain""]",unique_umls
169,cellulitis,True,75,1,"[""C0007642""]","[""Cellulitis""]",unique_umls
170,cerebellar syndrome,True,13,1,"[""C0007760""]","[""Cerebellar syndrome""]",unique_umls
171,cerebral haemorrhage,True,42,1,"[""C2937358""]","[""Cerebral haemorrhage""]",unique_umls
172,cerebral infarction,True,15,1,"[""C0007785""]","[""Cerebral infarction""]",unique_umls
173,cerebral ischaemia,True,30,1,"[""C0917798""]","[""Cerebral ischaemia""]",unique_umls
174,cerebrovascular accident,True,142,1,"[""C0038454""]","[""Cerebrovascular accident""]",unique_umls
175,cerebrovascular disorder,True,21,1,"[""C0007820""]","[""Cerebrovascular disorder""]",unique_umls
176,cervix disorder,True,9,1,"[""C0007867""]","[""Cervix disorder""]",unique_umls
177,change of bowel habit,True,7,1,"[""C0278008""]","[""Change of bowel habit""]",unique_umls
178,cheilitis,True,27,1,"[""C0007971""]","[""Cheilitis""]",unique_umls
179,chest discomfort,True,94,1,"[""C0235710""]","[""Chest discomfort""]",unique_umls
180,chest pain,True,837,1,"[""C0008031""]","[""Chest pain""]",unique_umls
181,chills,True,616,1,"[""C0085593""]","[""Chills""]",unique_umls
182,cholecystitis,True,49,1,"[""C0008325""]","[""Cholecystitis""]",unique_umls
183,biliary sludge,False,0,0,[],[],unmatched
184,cholestasis,True,52,1,"[""C0008370""]","[""Cholestasis""]",unique_umls
185,chorea and atheletes disease,False,0,0,[],[],unmatched
186,color vision change,False,0,0,[],[],unmatched
187,urine discolouration,False,0,0,[],[],unmatched
188,chronic obstructive pulmonary disease,True,15,1,"[""C0024117""]","[""Chronic obstructive pulmonary disease""]",unique_umls
189,clostridium difficile colitis,True,8,1,"[""C0238106""]","[""Clostridium difficile colitis""]",unique_umls
190,coagulopathy,True,42,1,"[""C0005779""]","[""Coagulopathy""]",unique_umls
191,cognitive disorder,True,20,1,"[""C0009241""]","[""Cognitive disorder""]",unique_umls
192,cold sweat,True,22,1,"[""C0232431""]","[""Cold sweat""]",unique_umls
193,colitis,True,92,1,"[""C0009319""]","[""Colitis""]",unique_umls
194,colitis ischaemic,True,25,1,"[""C0162529""]","[""Colitis ischaemic""]",unique_umls
195,colitis ulcerative,True,27,1,"[""C0009324""]","[""Colitis ulcerative""]",unique_umls
196,coma,True,71,1,"[""C0009421""]","[""Coma""]",unique_umls
197,completed suicide,True,40,1,"[""C0852733""]","[""Completed suicide""]",unique_umls
198,conduction disorder,True,7,1,"[""C0264886""]","[""Conduction disorder""]",unique_umls
199,confusion state,False,0,0,[],[],unmatched
200,congenital eye disorder,True,10,1,"[""C0015393""]","[""Congenital eye disorder""]",unique_umls
201,conjunctival haemorrhage,True,23,1,"[""C0009760""]","[""Conjunctival haemorrhage""]",unique_umls
202,congestion conjunctival,False,0,0,[],[],unmatched
203,conjunctival oedema,True,25,1,"[""C0151601""]","[""Conjunctival oedema""]",unique_umls
204,conjunctivitis,True,278,1,"[""C0009763""]","[""Conjunctivitis""]",unique_umls
205,conjunctivitis allergic,True,9,1,"[""C0009766""]","[""Conjunctivitis allergic""]",unique_umls
206,connective tissue disorder,True,151,1,"[""C0009782""]","[""Connective tissue disorder""]",unique_umls
207,constipation,True,1881,1,"[""C0009806""]","[""Constipation""]",unique_umls
208,contusion,True,128,1,"[""C0009938""]","[""Contusion""]",unique_umls
209,conversion disorder,True,12,1,"[""C0009946""]","[""Conversion disorder""]",unique_umls
210,coordination abnormal,True,139,1,"[""C0520966""]","[""Coordination abnormal""]",unique_umls
211,corneal erosion,True,14,1,"[""C0392163""]","[""Corneal erosion""]",unique_umls
212,corneal lesion,True,9,1,"[""C0151571""]","[""Corneal lesion""]",unique_umls
213,corneal opacity,True,8,1,"[""C0010038""]","[""Corneal opacity""]",unique_umls
214,coronary artery disease,True,24,1,"[""C1956346""]","[""Coronary artery disease""]",unique_umls
215,cough,True,1308,1,"[""C0010200""]","[""Cough""]",unique_umls
216,regional enteritis of unspecified site,False,0,0,[],[],unmatched
