matrix_index,drug_name,top1_neighbor_index,top1_neighbor_name,top1_nonself_cosine,top5_mean_cosine,top10_mean_cosine,tenth_neighbor_cosine,top1_minus_tenth_similarity_margin,top1_minus_top10_mean_margin
78,pamidronic.acid,85,raltitrexed,0.9999999999999989,0.9999999999999989,0.9972250329057486,0.990273184905845,0.009726815094153851,0.0027749670942502913
79,venlafaxine,26,ramipril,0.9999999999999999,0.9999999999999998,0.9999999999999998,0.9999999999999999,0.0,1.1102230246251565e-16
80,conjugated.estrogens,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
81,travoprost,2,leuprorelin,0.9999999999999993,0.9999999999999993,0.9922895093522707,0.9838151387945194,0.016184861205479906,0.007710490647728663
82,atomoxetine,376,maprotiline,0.9999999999999959,0.9954348860754297,0.9908693263353584,0.9863037664546681,0.013696233545327785,0.00913067366463749
84,chlorambucil,36,fluconazole,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0
85,raltitrexed,147,methylphenidate,1.0000000000000002,1.0000000000000002,0.997225032865338,0.9902731845290565,0.009726815470943673,0.0027749671346621874
86,etonogestrel,27,flunisolide,1.0000000000000002,0.9957701135661369,0.9868508752326479,0.9765532417861429,0.023446758213857333,0.013149124767352305
87,morphine,467,pioglitazone,0.9999999999999971,0.9999999999999962,0.9999999999999953,0.9999999999999933,3.774758283725532e-15,1.7763568394002505e-15
88,ropivacaine,618,lacosamide,0.9999999999999978,0.9942801596821902,0.9886945376941985,0.9831089147577933,0.016891085242204507,0.011305462305799319
89,bupivacaine,336,dacarbazine,1.0000000000000002,1.0000000000000002,0.9999999999999982,0.9999999999999964,3.774758283725532e-15,1.9984014443252818e-15
90,penciclovir,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
91,tenofovir.disoproxil,530,posaconazole,0.9999999999999971,0.9967774642194065,0.9962250740397718,0.9956726838601369,0.00432731613986026,0.0037749259602253282
92,flucloxacillin,36,fluconazole,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,0.0
93,tranexamic.acid,180,fosinopril,0.9999999999999993,0.9985273742129378,0.9929783016146863,0.9872046699616118,0.012795330038387509,0.00702169838531308
94,ertapenem,0,lepirudin,1.0,1.0,1.0,1.0,0.0,0.0
