pair_group,source_drug_index,source_drug_name,target_drug_index,target_drug_name,kg_embedding_cosine,source_gene_count,target_gene_count,shared_gene_count,gene_jaccard,source_pathway_count,target_pathway_count,shared_pathway_count,pathway_jaccard
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,247,dexmedetomidine,472,nefazodone,0.9297149420148736,5,19,2,0.09090909090909091,20,35,13,0.30952380952380953
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,49,moxifloxacin,250,pemetrexed,0.98697593149676,2,7,0,0.0,9,13,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,398,formoterol,644,fampridine,0.9450000898496853,17,18,0,0.0,35,14,10,0.2564102564102564
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,383,hydrocodone,392,ezetimibe,0.9696002817689225,7,15,1,0.047619047619047616,19,33,10,0.23809523809523808
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,413,ganciclovir,742,desirudin,0.980807427371381,6,0,0,0.0,9,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,152,allopurinol,295,risperidone,0.9360128810778172,6,17,0,0.0,19,36,5,0.1
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,554,ciclesonide,647,pasireotide,0.9765532419167362,5,5,1,0.1111111111111111,21,10,7,0.2916666666666667
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,553,tiotropium.bromide,646,liraglutide,1.0,0,0,0,0.0,0,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,350,risedronic.acid,668,methylnaltrexone.bromide,0.9528772578999964,2,0,0,0.0,10,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,1,bivalirudin,747,clobetasone,1.0,0,0,0,0.0,0,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,103,dihydroergotamine,703,canagliflozin,0.9547094753707397,6,0,0,0.0,17,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,170,duloxetine,571,maraviroc,0.9101741402352916,10,2,0,0.0,33,11,6,0.15789473684210525
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,276,daunorubicin,485,rescinnamine,0.980679081407238,15,0,0,0.0,37,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,6,desmopressin,488,pergolide,0.9738170120180061,5,18,0,0.0,17,18,2,0.06060606060606061
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,186,cimetidine,418,cinacalcet,0.784131876381366,25,4,3,0.11538461538461539,38,18,15,0.36585365853658536
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,174,celecoxib,654,fesoterodine,0.9285316590069836,12,8,3,0.17647058823529413,59,18,12,0.18461538461538463
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,116,nitisinone,494,flecainide,0.9529945033276082,1,12,0,0.0,1,34,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,307,clopidogrel,484,podophyllotoxin,0.9032648457898954,12,3,0,0.0,26,42,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,69,metoprolol,553,tiotropium.bromide,0.9547904356008247,6,0,0,0.0,30,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,135,beclometasone,413,ganciclovir,0.9543081928363638,8,6,0,0.0,30,9,3,0.08333333333333333
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,76,argatroban,397,isotretinoin,0.9625945436114455,6,4,2,0.25,31,23,17,0.4594594594594595
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,358,bimatoprost,396,ramelteon,0.9738170062195659,5,6,1,0.1,10,15,8,0.47058823529411764
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,6,desmopressin,727,pinaverium,0.9443964430495274,5,2,0,0.0,17,8,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,452,iloprost,632,bazedoxifene,0.8589321405095955,12,5,0,0.0,14,20,2,0.0625
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,30,cevimeline,172,lenalidomide,0.9738458771087808,0,5,0,0.0,0,20,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,60,mesalazine,117,clobazam,0.9314111426517544,8,24,0,0.0,66,19,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,88,ropivacaine,634,doxercalciferol,0.9311348257696203,4,2,0,0.0,16,8,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,178,sotalol,687,cabozantinib,0.9292541127292928,4,6,0,0.0,13,40,4,0.08163265306122448
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,314,oxcarbazepine,356,didanosine,0.9284595224311595,25,5,1,0.034482758620689655,31,20,12,0.3076923076923077
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,394,telithromycin,581,milnacipran,0.9331464225752081,3,10,1,0.08333333333333333,12,21,7,0.2692307692307692
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,2,leuprorelin,644,fampridine,0.899975665983202,1,18,0,0.0,2,14,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,315,estradiol,476,trimetrexate,0.9705520539676037,41,2,0,0.0,81,3,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,62,cabergoline,651,degarelix,0.9692580284553964,22,1,0,0.0,24,2,1,0.04
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,446,atorvastatin,744,colestilan,0.9557478100609698,26,0,0,0.0,70,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,591,trabectedin,720,ibrutinib,0.9553920415814947,6,7,2,0.18181818181818182,15,35,10,0.25
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,20,enfuvirtide,491,clindamycin,1.0,0,0,0,0.0,0,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,114,diltiazem,308,meropenem,0.9567031274595816,11,0,0,0.0,30,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,508,rifaximin,668,methylnaltrexone.bromide,0.9623825744921536,4,0,0,0.0,12,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,393,dipyridamole,581,milnacipran,0.9336004932379918,13,10,0,0.0,25,21,3,0.06976744186046512
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,129,palonosetron,330,fosfomycin,0.9611205894334732,4,0,0,0.0,16,0,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,391,azelastine,508,rifaximin,0.9034138204062232,16,4,3,0.17647058823529413,34,12,10,0.2777777777777778
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,325,ribavirin,544,fosphenytoin,0.936688475101485,6,10,0,0.0,9,29,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,388,telmisartan,621,nalmefene,0.9689041837829513,8,6,1,0.07692307692307693,35,11,6,0.15
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,388,telmisartan,389,desloratadine,0.956710804789033,8,2,1,0.1111111111111111,35,6,5,0.1388888888888889
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,491,clindamycin,502,ceftriaxone,0.9639813096194855,0,8,0,0.0,0,19,0,0.0
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,700,ponatinib,719,eliglustat,0.971420300561584,21,4,3,0.13636363636363635,244,13,12,0.04897959183673469
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,314,oxcarbazepine,369,levosimendan,0.9522379357480635,25,4,0,0.0,31,8,1,0.02631578947368421
DETERMINISTIC_RANDOM_AVAILABLE_PAIRS,445,fludarabine,525,lisdexamfetamine,0.9739868316395616,5,3,0,0.0,16,9,0,0.0
