matrix_index,drug_name,stitch_id,stitch_inchikey,optimuskg_id,optimuskg_name,optimuskg_inchikey,was_previous_name_candidate
150,famciclovir,CIDm00003324,GGXKWVWZWMLJEH-UHFFFAOYSA-N,CHEMBL880,FAMCICLOVIR,GGXKWVWZWMLJEH-UHFFFAOYSA-N,true
152,allopurinol,CIDm00002094,PTJRZVJXXNYNLN-UHFFFAOYSA-M,CHEMBL1200477,ALLOPURINOL SODIUM,PTJRZVJXXNYNLN-UHFFFAOYSA-M,false
152,allopurinol,CIDm00002094,OFCNXPDARWKPPY-UHFFFAOYSA-N,CHEMBL1467,ALLOPURINOL,OFCNXPDARWKPPY-UHFFFAOYSA-N,true
155,trimethoprim,CIDm00005578,YLCCEQZHUHUYPA-UHFFFAOYSA-N,CHEMBL1201080,TRIMETHOPRIM HYDROCHLORIDE,YLCCEQZHUHUYPA-UHFFFAOYSA-N,false
155,trimethoprim,CIDm00005578,UILMMYFRNCCPLK-UHFFFAOYSA-N,CHEMBL2110367,TRIMETHOPRIM SULFATE,UILMMYFRNCCPLK-UHFFFAOYSA-N,false
155,trimethoprim,CIDm00005578,IEDVJHCEMCRBQM-UHFFFAOYSA-N,CHEMBL22,TRIMETHOPRIM,IEDVJHCEMCRBQM-UHFFFAOYSA-N,true
157,entecavir,CIDm00153941,YXPVEXCTPGULBZ-WQYNNSOESA-N,CHEMBL5314362,ENTECAVIR,YXPVEXCTPGULBZ-WQYNNSOESA-N,true
157,entecavir,CIDm00153941,QDGZDCVAUDNJFG-FXQIFTODSA-N,CHEMBL713,ENTECAVIR ANHYDROUS,QDGZDCVAUDNJFG-FXQIFTODSA-N,true
160,lansoprazole,CIDm00003883,MJIHNNLFOKEZEW-RUZDIDTESA-N,CHEMBL1201863,DEXLANSOPRAZOLE,MJIHNNLFOKEZEW-RUZDIDTESA-N,false
160,lansoprazole,CIDm00003883,MJIHNNLFOKEZEW-UHFFFAOYSA-N,CHEMBL480,LANSOPRAZOLE,MJIHNNLFOKEZEW-UHFFFAOYSA-N,true
161,loratadine,CIDm00003957,JCCNYMKQOSZNPW-UHFFFAOYSA-N,CHEMBL998,LORATADINE,JCCNYMKQOSZNPW-UHFFFAOYSA-N,true
162,prazosin,CIDm00004893,WFXFYZULCQKPIP-UHFFFAOYSA-N,CHEMBL1558,PRAZOSIN HYDROCHLORIDE,WFXFYZULCQKPIP-UHFFFAOYSA-N,false
162,prazosin,CIDm00004893,IENZQIKPVFGBNW-UHFFFAOYSA-N,CHEMBL2,PRAZOSIN,IENZQIKPVFGBNW-UHFFFAOYSA-N,true
163,imipramine,CIDm00003696,BCGWQEUPMDMJNV-UHFFFAOYSA-N,CHEMBL11,IMIPRAMINE,BCGWQEUPMDMJNV-UHFFFAOYSA-N,true
163,imipramine,CIDm00003696,XZZXIYZZBJDEEP-UHFFFAOYSA-N,CHEMBL1692,IMIPRAMINE HYDROCHLORIDE,XZZXIYZZBJDEEP-UHFFFAOYSA-N,false
166,nabumetone,CIDm00004409,BLXXJMDCKKHMKV-UHFFFAOYSA-N,CHEMBL1070,NABUMETONE,BLXXJMDCKKHMKV-UHFFFAOYSA-N,true
167,ketorolac,CIDm00003826,OZWKMVRBQXNZKK-UHFFFAOYSA-N,CHEMBL469,KETOROLAC,OZWKMVRBQXNZKK-UHFFFAOYSA-N,true
