matrix_index,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,mapping_method,mapping_status,requires_review
814,salivary gland enlargement,C0020569,10039408,Salivary gland enlargement,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
815,increased salivation,,,,,[],,unresolved,True
816,oviduct inflammation,,,,,[],,unresolved,True
817,scab,C0205204,10039509,Scab,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
818,reaction schizoid,,,,,[],,unresolved,True
819,sciatica,C0036396,10039674,Sciatica,,"[""HP_0011868""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
820,sclera inflammation,,,,,[],,unresolved,True
821,seasonal allergy,C0018621,10048908,Seasonal allergy,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
822,seborrheic dermatitis,,,,,[],,unresolved,True
823,seborrheic keratosis,,,,,[],,unresolved,True
824,sensation of foreign body,C0423602,10061549,Sensation of foreign body,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
825,sensory disturbance,C0152027,10040026,Sensory disturbance,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
826,sensory loss,C0278134,10040030,Sensory loss,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
827,sepsis,C0243026,10040047,Sepsis,meddra:10040047,[],sider_umls_pt,meddra_by_umls,False
828,septic shock,C0036983,10040070,Septic shock,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
829,serotonin syndrome,C0699828,10040108,Serotonin syndrome,meddra:10040108,[],sider_umls_pt,meddra_by_umls,False
830,serum sickness,C0036830,10040400,Serum sickness,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
831,sexual dysfunction,C0549622,10040477,Sexual dysfunction,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
832,shock,C0036974,10040560,Shock,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
833,salivary glands inflammation,,,,,[],,unresolved,True
834,sinus bradycardia,C0085610,10040741,Sinus bradycardia,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
835,sinus congestion,C0152029,10040742,Sinus congestion,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
836,sinus headache,C0037195,10040744,Sinus headache,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
837,sinus tachycardia,C0039239,10040752,Sinus tachycardia,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
838,sinusitis,C0037199,10040753,Sinusitis,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
839,skin atrophy,C0151514,10040799,Skin atrophy,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
840,skin burning sensation,C0241057,10054786,Skin burning sensation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
841,skin cancer,C0007114,10040808,Skin cancer,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
842,skin discolouration,C0151907,10040829,Skin discolouration,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
843,skin disorder,C0037274,10040831,Skin disorder,,"[""HP_0000951""]",exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
844,skin exfoliation,C0237849,10040844,Skin exfoliation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
845,skin hyperpigmentation,C0162834,10040865,Skin hyperpigmentation,,"[""HP_0000953""]",sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
846,skin hypertrophy,C0151717,10040867,Skin hypertrophy,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
847,skin infection,C0037278,10040872,Skin infection,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
848,skin irritation,C0152030,10040880,Skin irritation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
