matrix_index,drug_name,stitch_id,candidate_count,candidate_ids,mapping_status
190,vancomycin,CIDm00014969,1,CHEMBL262777,unique_exact
191,dextromethorphan,CIDm05360696,1,CHEMBL52440,unique_exact
192,albendazole,CIDm00002082,1,CHEMBL1483,unique_exact
193,trandolapril,CIDm05484727,1,CHEMBL1519,unique_exact
194,caspofungin,CIDm02826718,2,CHEMBL1630575;DRUGBANK:DB00520,ambiguous_exact
195,alitretinoin,CIDm00449171,1,CHEMBL705,unique_exact
196,metolazone,CIDm00004170,1,CHEMBL878,unique_exact
197,oxaliplatin,CIDm00004609,2,CHEMBL414804;DRUGBANK:DB00526,ambiguous_exact
198,lercanidipine,CIDm00065866,1,CHEMBL250270,unique_exact
199,foscarnet,CIDm00003414,1,CHEMBL666,unique_exact
200,erlotinib,CIDm00176870,2,CHEMBL553;RXNORM:337525,ambiguous_exact
201,cyclophosphamide,CIDm00002907,2,CHEMBL1200796;CHEMBL88,ambiguous_exact
202,rofecoxib,CIDm00005090,1,CHEMBL122,unique_exact
203,ciprofloxacin,CIDm00002764,1,CHEMBL8,unique_exact
204,gadoversetamide,CIDm00444013,0,"",unmatched
205,toremifene,CIDm03005572,1,CHEMBL1655,unique_exact
206,vincristine,CIDm06324671,2,CHEMBL499458;CHEMBL90555,ambiguous_exact
207,benazepril,CIDm05362123,1,CHEMBL838,unique_exact
208,fluorouracil,CIDm00003385,1,CHEMBL185,unique_exact
209,pyridostigmine,CIDm00004991,1,CHEMBL1115,unique_exact
210,azelaic.acid,CIDm00002266,0,"",unmatched
211,zafirlukast,CIDm00005717,1,CHEMBL603,unique_exact
212,pentostatin,CIDm00439693,1,CHEMBL1580,unique_exact
213,piroxicam,CIDm23690938,1,CHEMBL527,unique_exact
214,lamotrigine,CIDm00003878,1,CHEMBL741,unique_exact
215,zanamivir,CIDm00060855,1,CHEMBL222813,unique_exact
216,bosentan,CIDm00104865,2,CHEMBL957;RXNORM:75207,ambiguous_exact
217,tigecycline,CIDm54686904,1,CHEMBL376140,unique_exact
218,methotrexate,CIDm00126941,2,CHEMBL34259;RXNORM:6851,ambiguous_exact
219,carbamazepine,CIDm00002554,1,CHEMBL108,unique_exact
220,cisatracurium,CIDm00062886,1,CHEMBL1201248,unique_exact
221,fondaparinux,CIDm00636380,1,CHEMBL1201202,unique_exact
222,propranolol,CIDm00004946,2,CHEMBL27;RXNORM:8787,ambiguous_exact
223,clonidine,CIDm00002803,1,CHEMBL134,unique_exact
224,valaciclovir,CIDm00060772,1,CHEMBL1349,unique_exact
225,valdecoxib,CIDm00119607,1,CHEMBL865,unique_exact
226,voriconazole,CIDm00071616,1,CHEMBL638,unique_exact
227,levocarnitine,CIDm00010917,1,CHEMBL1149,unique_exact
228,enalapril,CIDm05388961,1,CHEMBL578,unique_exact
229,nizatidine,CIDm03033637,1,CHEMBL3183075,unique_exact
230,diclofenac,CIDm00003032,1,CHEMBL139,unique_exact
231,doxazosin,CIDm00003157,1,CHEMBL707,unique_exact
232,amiloride,CIDm00016230,1,CHEMBL945,unique_exact
233,gadoteridol,CIDm00060714,2,CHEMBL1200593;DRUGBANK:DB00597,ambiguous_exact
234,labetalol,CIDm00003869,1,CHEMBL429,unique_exact
235,linezolid,CIDm00441401,1,CHEMBL126,unique_exact
236,ivermectin,CIDm06435110,2,CHEMBL1200633;DRUGBANK:DB00602,ambiguous_exact
237,medroxyprogesterone,CIDm00010631,1,CHEMBL717,unique_exact
238,butorphanol,CIDm05361092,2,CHEMBL33986;DRUGBANK:DB00611,ambiguous_exact
239,bisoprolol,CIDm00002405,1,CHEMBL645,unique_exact
240,rifabutin,CIDm06323490,1,CHEMBL444633,unique_exact
241,imatinib,CIDm00005291,1,CHEMBL941,unique_exact
242,triamcinolone,CIDm00031307,1,CHEMBL1451,unique_exact
243,testosterone,CIDm00006013,2,CHEMBL386630;RXNORM:10379,ambiguous_exact
244,efavirenz,CIDm00064139,1,CHEMBL223228,unique_exact
245,alendronic.acid,CIDm00002088,0,"",unmatched
246,clofarabine,CIDm00119182,1,CHEMBL1750,unique_exact
247,dexmedetomidine,CIDm05311068,1,CHEMBL778,unique_exact
248,adenosine,CIDm00060961,1,CHEMBL477,unique_exact
249,simvastatin,CIDm00054454,1,CHEMBL1064,unique_exact
250,pemetrexed,CIDm00060843,1,CHEMBL225072,unique_exact
251,gonadorelin,CIDm00036523,2,CHEMBL1007;CHEMBL1981292,ambiguous_exact
252,stavudine,CIDm00018283,1,CHEMBL991,unique_exact
253,calcium.folinate,CIDm00006006,0,"",unmatched
254,latanoprost,CIDm05311221,1,CHEMBL1051,unique_exact
255,estrone,CIDm03001028,1,CHEMBL1405,unique_exact
256,trazodone,CIDm00005533,1,CHEMBL621,unique_exact
257,sevelamer,CIDm03085017,2,CHEMBL5314349;DRUGBANK:DB00658,ambiguous_exact
258,acamprosate,CIDm00071158,1,CHEMBL1201293,unique_exact
259,verapamil,CIDm00002520,1,CHEMBL6966,unique_exact
260,nilutamide,CIDm00004493,1,CHEMBL1274,unique_exact
261,nafarelin,CIDm25077649,2,CHEMBL1201309;DRUGBANK:DB00666,ambiguous_exact
262,sumatriptan,CIDm00005358,1,CHEMBL128,unique_exact
263,cefixime,CIDm06321411,1,CHEMBL1541,unique_exact
264,aprepitant,CIDm00151165,1,CHEMBL1471,unique_exact
265,galantamine,CIDm00009651,1,CHEMBL659,unique_exact
266,tamoxifen,CIDm02733525,1,CHEMBL83,unique_exact
267,losartan,CIDm00003961,1,CHEMBL191,unique_exact
268,amphotericin.B,CIDm05280965,0,"",unmatched
269,midazolam,CIDm00004192,1,CHEMBL655,unique_exact
270,tobramycin,CIDm00036294,1,CHEMBL1747,unique_exact
271,trovafloxacin,CIDm00062959,1,CHEMBL428,unique_exact
272,pentosan.polysulfate.sodium,CIDm00037720,0,"",unmatched
273,moexipril,CIDm00055331,1,CHEMBL1165,unique_exact
274,phentolamine,CIDm00005775,1,CHEMBL597,unique_exact
275,fluorescein,CIDm00016850,1,CHEMBL4297067,unique_exact
276,daunorubicin,CIDm00030323,1,CHEMBL178,unique_exact
