matrix_index,drug_name,stitch_id,optimuskg_id,optimuskg_name,mapping_method,mapping_confidence,candidate_count,resolution_status
109,olanzapine,CIDm00004585,CHEMBL715,OLANZAPINE,unique_exact,high,1,resolved
110,atenolol,CIDm00002249,CHEMBL24,ATENOLOL,unique_exact,high,1,resolved
111,pimecrolimus,CIDm06509979,CHEMBL1200686,PIMECROLIMUS,unique_exact,high,1,resolved
112,omeprazole,CIDm00004594,CHEMBL1503,OMEPRAZOLE,unique_exact,high,1,resolved
113,cetirizine,CIDm01548999,CHEMBL1000,CETIRIZINE,canonical_name_disambiguation,high,2,resolved
114,diltiazem,CIDm00039186,CHEMBL23,DILTIAZEM,unique_exact,high,1,resolved
115,alfuzosin,CIDm00002092,CHEMBL709,ALFUZOSIN,unique_exact,high,1,resolved
116,nitisinone,CIDm00115355,"","","","",2,ambiguous
117,clobazam,CIDm00002789,CHEMBL70418,CLOBAZAM,unique_exact,high,1,resolved
118,megestrol,CIDm00019090,CHEMBL1201139,MEGESTROL ACETATE,unique_exact,high,1,resolved
119,aztreonam,CIDm05742832,CHEMBL158,AZTREONAM,unique_exact,high,1,resolved
120,sapropterin,CIDm00044257,CHEMBL1201774,SAPROPTERIN,unique_exact,high,1,resolved
121,vinorelbine,CIDm00060779,CHEMBL553025,VINORELBINE,unique_exact,high,1,resolved
122,anidulafungin,CIDm00166548,CHEMBL264241,ANIDULAFUNGIN,unique_exact,high,1,resolved
123,clozapine,CIDm00002818,CHEMBL42,CLOZAPINE,unique_exact,high,1,resolved
124,levonorgestrel,CIDm00013109,CHEMBL1389,LEVONORGESTREL,unique_exact,high,1,resolved
125,cidofovir,CIDm00466146,CHEMBL5314375,CIDOFOVIR,canonical_name_disambiguation,high,2,resolved
126,mirtazapine,CIDm00004205,CHEMBL654,MIRTAZAPINE,unique_exact,high,1,resolved
127,timolol,CIDm00033624,CHEMBL499,TIMOLOL,unique_exact,high,1,resolved
128,treprostinil,CIDm06918140,"","","","",2,ambiguous
129,palonosetron,CIDm06337614,CHEMBL1189679,PALONOSETRON,unique_exact,high,1,resolved
130,mexiletine,CIDm00004178,CHEMBL558,MEXILETINE,canonical_name_disambiguation,high,2,resolved
131,dexrazoxane,CIDm00071384,CHEMBL1738,DEXRAZOXANE,unique_exact,high,1,resolved
132,amlodipine,CIDm00002162,"","","","",2,ambiguous
133,digoxin,CIDm02724385,CHEMBL1751,DIGOXIN,unique_exact,high,1,resolved
134,nimodipine,CIDm00004497,CHEMBL1428,NIMODIPINE,unique_exact,high,1,resolved
135,beclometasone,CIDm00020469,CHEMBL1200500,BECLOMETHASONE DIPROPIONATE,unique_exact,high,1,resolved
136,progesterone,CIDm00005994,CHEMBL103,PROGESTERONE,unique_exact,high,1,resolved
137,sorafenib,CIDm00216239,CHEMBL1336,SORAFENIB,unique_exact,high,1,resolved
138,zoledronic.acid,CIDm00068740,CHEMBL4303669,ZOLEDRONIC ACID,dot_normalized_exact,high,2,resolved
