matrix_index,biokorf_drug_id,drug_name,stitch_id,entity_type,optimuskg_ids,optimuskg_node_count,mapping_source,mapping_confidence,kg_mapping_status,requires_manual_review
146,BIOKORF_DRUG_146,miglustat,CIDm00051634,drug,"[""CHEMBL1029""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
147,BIOKORF_DRUG_147,methylphenidate,CIDm00004158,drug,"[""CHEMBL796""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
148,BIOKORF_DRUG_148,hyoscyamine,CIDm00003661,drug,"[""CHEMBL1331216""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
149,BIOKORF_DRUG_149,zolpidem,CIDm00005732,drug,"[""CHEMBL911""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
150,BIOKORF_DRUG_150,famciclovir,CIDm00003324,drug,"[""CHEMBL880""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
151,BIOKORF_DRUG_151,streptozocin,CIDm00029327,drug,"[""CHEMBL1651906""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
152,BIOKORF_DRUG_152,allopurinol,CIDm00002094,drug,"[""CHEMBL1467""]",1,evidence_fusion:resolved_by_unique_intersection,very_high,mapped_single,false
153,BIOKORF_DRUG_153,ceftazidime,CIDm05481173,drug,"[""CHEMBL44354""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
154,BIOKORF_DRUG_154,cerivastatin,CIDm00446156,drug,"[""CHEMBL1477""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
155,BIOKORF_DRUG_155,trimethoprim,CIDm00005578,drug,"[""CHEMBL22""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
156,BIOKORF_DRUG_156,gemcitabine,CIDm00060749,drug,"[""CHEMBL888""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
157,BIOKORF_DRUG_157,entecavir,CIDm00153941,drug,"[""CHEMBL5314362""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
158,BIOKORF_DRUG_158,teniposide,CIDm00452548,drug,"[""CHEMBL452231""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
159,BIOKORF_DRUG_159,epirubicin,CIDm00041867,drug,"[""CHEMBL417""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
160,BIOKORF_DRUG_160,lansoprazole,CIDm00003883,drug,"[""CHEMBL480""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
161,BIOKORF_DRUG_161,loratadine,CIDm00003957,drug,"[""CHEMBL998""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
162,BIOKORF_DRUG_162,prazosin,CIDm00004893,drug,"[""CHEMBL2""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
163,BIOKORF_DRUG_163,imipramine,CIDm00003696,drug,"[""CHEMBL11""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
164,BIOKORF_DRUG_164,acitretin,CIDm05284513,drug,"[""CHEMBL1131""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
165,BIOKORF_DRUG_165,verteporfin,CIDm05362420,drug,"[""CHEMBL5314346""]",1,evidence_fusion:supported_canonical_name,high,mapped_single,false
166,BIOKORF_DRUG_166,nabumetone,CIDm00004409,drug,"[""CHEMBL1070""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
167,BIOKORF_DRUG_167,ketorolac,CIDm00003826,drug,"[""CHEMBL469""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
168,BIOKORF_DRUG_168,montelukast,CIDm05281040,drug,"[""CHEMBL787""]",1,evidence_fusion:name_only_resolved,high,mapped_single,false
169,BIOKORF_DRUG_169,fluoxetine,CIDm00003386,drug,"[""CHEMBL41""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
170,BIOKORF_DRUG_170,duloxetine,CIDm00060834,drug,"[""CHEMBL1175""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
171,BIOKORF_DRUG_171,rimantadine,CIDm00005071,drug,"[""CHEMBL959""]",1,evidence_fusion:confirmed_name_structure,very_high,mapped_single,false
172,BIOKORF_DRUG_172,lenalidomide,CIDm00216326,drug,"[""CHEMBL848""]",1,evidence_fusion:resolved_by_unique_structure_candidate,very_high,mapped_single,false
