matrix_index,side_effect_name,optimuskg_id,optimuskg_name,ontology_namespace,matched_field,properties.code,properties.umls_cui,properties.concept_ids,properties.xrefs,properties.snomed_concept_ids
516,irritability,HP_0000737,Irritability,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0000737,"",[],"[""UMLS:C2700617""]",[]
516,irritability,meddra:10022998,Irritability,MEDDRA,properties.name,"","",[],[],[]
519,jaundice,HP_0000952,Jaundice,HPO,properties.name;properties.exact_synonyms;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000952,C0022346,"[""21010769""]","[""SNOMEDCT_US:18165001"",""UMLS:C0022346"",""ICD10:R17""]","[""18165001.0""]"
519,jaundice,meddra:10023126,Jaundice,MEDDRA,properties.name,"","",[],[],[]
521,joint stiffness,HP_0001387,Joint stiffness,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0001387,"",[],"[""SNOMEDCT_US:84445001"",""UMLS:C0162298""]",[]
522,joint swelling,HP_0001386,Joint swelling,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0001386,"",[],"[""SNOMEDCT_US:271771009"",""UMLS:C0152031""]",[]
523,keratitis,HP_0000491,Keratitis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0000491,C0022568,"[""21001258""]","[""UMLS:C0022568"",""SNOMEDCT_US:5888003""]","[""5888003.0""]"
524,ketosis,HP_0001946,Ketosis,HPO,properties.name,"","",[],[],[]
531,lactic acidosis,HP_0003128,Lactic acidosis,HPO,properties.name;properties.concept_names;properties.snomed_full_names,http://purl.obolibrary.org/obo/HP_0003128,C0001125,"[""21000740""]","[""SNOMEDCT_US:91273001"",""SNOMEDCT_US:190882007"",""UMLS:C0001125"",""UMLS:C0347959""]","[""91273001.0""]"
531,lactic acidosis,meddra:10023676,Lactic acidosis,MEDDRA,properties.name,"","",[],[],[]
536,lethargy,HP_0001254,Lethargy,HPO,properties.name;properties.exact_synonyms,http://purl.obolibrary.org/obo/HP_0001254,"",[],"[""UMLS:C0023380"",""SNOMEDCT_US:214264003""]",[]
