matrix_index,drug_name,optimuskg_id,optimuskg_name,matched_field,inchi_key,canonical_smiles,source_ids,accession_numbers,identity_class
296,naftifine,CHEMBL626,NAFTIFINE,properties.name;properties.synonyms,OZGNYLLQHRPOBR-DHZHZOJOSA-N,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12,"[""7451""]",[],equivalent_by_inchikey
296,naftifine,DRUGBANK:DB00735,Naftifine,properties.name;properties.synonyms,OZGNYLLQHRPOBR-DHZHZOJOSA-N,CN(C\C=C\C1=CC=CC=C1)CC1=CC=CC2=CC=CC=C12,[],"[""APRD01131""]",equivalent_by_inchikey
299,riluzole,CHEMBL744,RILUZOLE,properties.name;properties.synonyms;properties.trade_names,FTALBRSUTCGOEG-UHFFFAOYSA-N,Nc1nc2ccc(OC(F)(F)F)cc2s1,"[""DB00740"",""8863"",""human/EPAR/riluzole-zentiva"",""riluzole""]",[],insufficient_structure
299,riluzole,RXNORM:35623,riluzole,properties.name,"","",[],[],insufficient_structure
315,estradiol,CHEMBL135,ESTRADIOL,properties.name;properties.synonyms;properties.trade_names,VOXZDWNPVJITMN-ZBRFXRBCSA-N,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,"[""DB00783"",""estradiol"",""16469""]",[],insufficient_structure
315,estradiol,RXNORM:4083,estradiol,properties.name,"","",[],[],insufficient_structure
326,fentanyl,CHEMBL596,FENTANYL,properties.name;properties.synonyms,PJMPHNIQZUBGLI-UHFFFAOYSA-N,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,"[""fentanyl"",""119915"",""DB00813""]",[],insufficient_structure
326,fentanyl,RXNORM:4337,fentanyl,properties.name,"","",[],[],insufficient_structure
341,vardenafil,CHEMBL1520,VARDENAFIL,properties.name;properties.synonyms,SECKRCOLJRRGGV-UHFFFAOYSA-N,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,"[""DB00862"",""46295""]",[],insufficient_structure
341,vardenafil,RXNORM:306674,vardenafil,properties.name,"","",[],[],insufficient_structure
347,emtricitabine,CHEMBL885,EMTRICITABINE,properties.name;properties.synonyms,XQSPYNMVSIKCOC-NTSWFWBYSA-N,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,"[""DB00879"",""human/EPAR/emtriva"",""emtricitabine"",""31536""]",[],insufficient_structure
347,emtricitabine,RXNORM:276237,emtricitabine,properties.name,"","",[],[],insufficient_structure
361,zonisamide,CHEMBL750,ZONISAMIDE,properties.name;properties.synonyms;properties.trade_names,UBQNRHZMVUUOMG-UHFFFAOYSA-N,NS(=O)(=O)Cc1noc2ccccc12,"[""zonisamide"",""DB00909"",""human/EPAR/zonegran"",""10127""]",[],insufficient_structure
361,zonisamide,RXNORM:39998,zonisamide,properties.name,"","",[],[],insufficient_structure
368,buprenorphine,CHEMBL511142,BUPRENORPHINE,properties.name;properties.synonyms,RMRJXGBAOAMLHD-CTAPUXPBSA-N,CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,"[""buprenorphine""]",[],mixed_identity
368,buprenorphine,CHEMBL560511,Buprenorphine,properties.name;properties.synonyms,RMRJXGBAOAMLHD-IHFGGWKQSA-N,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,"[""DB00921"",""3216""]",[],mixed_identity
372,azacitidine,CHEMBL1489,AZACITIDINE,properties.name;properties.synonyms;properties.trade_names,NMUSYJAQQFHJEW-KVTDHHQDSA-N,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,"[""human/EPAR/azacitidine-accord"",""azacitidine"",""DB00928"",""2038""]",[],insufficient_structure
372,azacitidine,RXNORM:1251,azacitidine,properties.name,"","",[],[],insufficient_structure
384,carboplatin,CHEMBL1351,CARBOPLATIN,properties.name;properties.synonyms;properties.trade_names,"","","[""carboplatin"",""31355""]",[],insufficient_structure
384,carboplatin,DRUGBANK:DB00958,Carboplatin,properties.name;properties.synonyms,OLESAACUTLOWQZ-UHFFFAOYSA-L,"",[],"[""APRD00466""]",insufficient_structure
