matrix_index,side_effect_name,sider_umls_cui,optimuskg_match_count,meddra_match_count,hpo_match_count,canonical_optimuskg_id,alias_optimuskg_ids,mapping_status
304,erectile dysfunction,C0242350,1,0,1,HP_0000802,[],umls_unique_other
305,gas raising,"",0,0,0,"",[],no_sider_umls
306,erythema,C0041834,1,0,1,HP_0010783,[],umls_unique_other
307,erythema multiforme,C0014742,0,0,0,"",[],umls_no_optimuskg_match
308,erythema nodosum,C0014743,1,0,1,HP_0012219,[],umls_unique_other
309,erythema of eyelid,C0239454,0,0,0,"",[],umls_no_optimuskg_match
310,euphoric mood,C0235146,0,0,0,"",[],umls_no_optimuskg_match
311,excoriation,C0015256,0,0,0,"",[],umls_no_optimuskg_match
312,exophthalmos,C0015300,1,0,1,HP_0000520,[],umls_unique_other
313,bone spur,"",0,0,0,"",[],no_sider_umls
314,extrapyramidal disorder,C0015371,0,0,0,"",[],umls_no_optimuskg_match
315,cardiac complex,"",0,0,0,"",[],no_sider_umls
316,extravasation,C0015376,0,0,0,"",[],umls_no_optimuskg_match
317,eye discharge,C0423006,0,0,0,"",[],umls_no_optimuskg_match
318,eye disorder,C0015397,1,0,1,HP_0000478,[],umls_unique_other
319,eye haemorrhage,C0015402,0,0,0,"",[],umls_no_optimuskg_match
320,eye infection,C0015403,0,0,0,"",[],umls_no_optimuskg_match
321,eye irritation,C0235266,0,0,0,"",[],umls_no_optimuskg_match
322,eye oedema,C0743680,0,0,0,"",[],umls_no_optimuskg_match
323,eye pain,C0151827,1,0,1,HP_0200026,[],umls_unique_other
324,eye pruritus,C0022281,0,0,0,"",[],umls_no_optimuskg_match
325,eye swelling,C0270996,0,0,0,"",[],umls_no_optimuskg_match
326,eyelid oedema,C0162285,0,0,0,"",[],umls_no_optimuskg_match
327,face oedema,C0542571,1,0,1,HP_0000282,[],umls_unique_other
328,fecal impaction,"",0,0,0,"",[],no_sider_umls
329,fecal impaction causing obstruction,"",0,0,0,"",[],no_sider_umls
330,faeces discoloured,C0235315,0,0,0,"",[],umls_no_optimuskg_match
331,fasting,C0015663,0,0,0,"",[],umls_no_optimuskg_match
332,fatigue,C0015672,1,0,1,HP_0012378,[],umls_unique_other
333,febrile neutropenia,C0746883,0,0,0,"",[],umls_no_optimuskg_match
334,feeling abnormal,C1443060,0,0,0,"",[],umls_no_optimuskg_match
335,feeling cold,C0234192,0,0,0,"",[],umls_no_optimuskg_match
336,feeling drunk,C0522172,0,0,0,"",[],umls_no_optimuskg_match
337,feeling hot,C2939147,0,0,0,"",[],umls_no_optimuskg_match
338,feeling jittery,C0549209,0,0,0,"",[],umls_no_optimuskg_match
339,fibrocystic breast disease,C0016034,0,0,0,"",[],umls_no_optimuskg_match
340,flank pain,C0016199,1,0,1,HP_0030157,[],umls_unique_other
341,flat affect,C0233471,0,0,0,"",[],umls_no_optimuskg_match
342,flatulence,C0016204,0,0,0,"",[],umls_no_optimuskg_match
343,fluid overload,C0546817,1,0,1,HP_0011105,[],umls_unique_other
344,fluid retention,C0268000,0,0,0,"",[],umls_no_optimuskg_match
345,flushing,C0016382,1,0,1,HP_0010783,[],umls_unique_other
346,halitosis of liver disease,"",0,0,0,"",[],no_sider_umls
347,folliculitis,C0016436,0,0,0,"",[],umls_no_optimuskg_match
348,fracture,C0016658,0,0,0,"",[],umls_no_optimuskg_match
349,functional gastrointestinal disorder,C0559031,0,0,0,"",[],umls_no_optimuskg_match
350,fungal infection,C0026946,0,0,0,"",[],umls_no_optimuskg_match
351,fungal skin infection,C0011630,0,0,0,"",[],umls_no_optimuskg_match
352,boil in nose,"",0,0,0,"",[],no_sider_umls
353,gait disturbance,C0575081,1,0,1,HP_0001288,[],umls_unique_other
354,female lactation,"",0,0,0,"",[],no_sider_umls
355,gamma glutamine transfer enzyme increased,"",0,0,0,"",[],no_sider_umls
356,gangrene,C0017086,0,0,0,"",[],umls_no_optimuskg_match
357,gastric ulcer,C0038358,0,0,0,"",[],umls_no_optimuskg_match
358,gastritis,C0017152,0,0,0,"",[],umls_no_optimuskg_match
359,gastroenteritis,C0017160,0,0,0,"",[],umls_no_optimuskg_match
360,gastrointestinal carcinoma,C0151544,0,0,0,"",[],umls_no_optimuskg_match
361,gastrointestinal disorder,C0017178,1,0,1,HP_0011024,[],umls_unique_other
362,gastrointestinal haemorrhage,C0017181,1,0,1,HP_0002239,[],umls_unique_other
363,gastrointestinal infection,C1264613,1,0,1,HP_0004798,[],umls_unique_other
364,gastrointestinal pain,C0687713,0,0,0,"",[],umls_no_optimuskg_match
365,gastrointestinal perforation,C0151664,0,0,0,"",[],umls_no_optimuskg_match
366,gastrointestinal ulcer,C0237938,0,0,0,"",[],umls_no_optimuskg_match
367,esophageal reflux,"",0,0,0,"",[],no_sider_umls
368,generalised oedema,C0151603,0,0,0,"",[],umls_no_optimuskg_match
369,genital candidiasis,C0343863,0,0,0,"",[],umls_no_optimuskg_match
370,gingival bleeding,C0017565,1,0,1,HP_0000225,[],umls_unique_other
371,gingival pain,C0239739,0,0,0,"",[],umls_no_optimuskg_match
372,gingivitis,C0017574,1,0,1,HP_0000230,[],umls_unique_other
373,glaucoma,C0017601,0,0,0,"",[],umls_no_optimuskg_match
374,glossitis,C0017675,0,0,0,"",[],umls_no_optimuskg_match
375,burning tongue,"",0,0,0,"",[],no_sider_umls
376,glucose tolerance impaired,C0271650,0,0,0,"",[],umls_no_optimuskg_match
377,diabetes,"",0,0,0,"",[],no_sider_umls
378,goitre,C0018021,1,0,1,HP_0000853,[],umls_unique_other
379,gout,C0018099,1,0,1,HP_0001997,[],umls_unique_other
380,gravitational oedema,C0235437,0,0,0,"",[],umls_no_optimuskg_match
381,breast enlargement male,"",0,0,0,"",[],no_sider_umls
382,emesis bloody,"",0,0,0,"",[],no_sider_umls
383,blood in stool,"",0,0,0,"",[],no_sider_umls
384,packed cell volume decreased,"",0,0,0,"",[],no_sider_umls
385,haematoma,C0018944,0,0,0,"",[],umls_no_optimuskg_match
386,urinary tract bleed microscopic,"",0,0,0,"",[],no_sider_umls
387,haemoglobin,C0518015,0,0,0,"",[],umls_no_optimuskg_match
388,haemoglobin decreased,C0162119,1,0,1,HP_0001903,[],umls_unique_other
389,haemolytic anaemia,C0002878,0,0,0,"",[],umls_no_optimuskg_match
390,haemolytic uremia syndrome,"",0,0,0,"",[],no_sider_umls
391,blood streaked sputum,"",0,0,0,"",[],no_sider_umls
392,haemorrhage,C0019080,0,0,0,"",[],umls_no_optimuskg_match
393,haemorrhage intracranial,C0151699,0,0,0,"",[],umls_no_optimuskg_match
394,haemorrhagic disorder,C0019087,1,0,1,HP_0001928,[],umls_unique_other
395,hemorrhoids,"",0,0,0,"",[],no_sider_umls
396,hair colour changes,C0474378,0,0,0,"",[],umls_no_optimuskg_match
397,hair disorder,C0018500,0,0,0,"",[],umls_no_optimuskg_match
398,hair texture abnormal,C0235807,0,0,0,"",[],umls_no_optimuskg_match
399,hallucination,C0018524,1,0,1,HP_0000738,[],umls_unique_other
400,hangover,C0221100,0,0,0,"",[],umls_no_optimuskg_match
401,headache,C0018681,1,0,1,HP_0002315,[],umls_unique_other
402,hemiplegia,C0018991,0,0,0,"",[],umls_no_optimuskg_match
403,hepatic cancer,C0345904,0,0,0,"",[],umls_no_optimuskg_match
404,hepatic enzyme increased,C0235996,1,0,1,HP_0002910,[],umls_unique_other
405,hepatic failure,C0085605,1,0,1,HP_0001399,[],umls_unique_other
406,hepatic function abnormal,C0086565,2,0,2,"","[""HP_0001410"",""HP_0002910""]",umls_multiple_no_unique_meddra
407,hepatic necrosis,C0151798,1,0,1,HP_0002605,[],umls_unique_other
408,hepatic steatosis,C2711227,1,0,1,HP_0001397,[],umls_unique_other
409,hepatitis,C0019158,1,0,1,HP_0012115,[],umls_unique_other
410,hepatitis cholestasis,"",0,0,0,"",[],no_sider_umls
411,hepatobiliary disease,C0267792,0,0,0,"",[],umls_no_optimuskg_match
412,hepatocellular injury,C0151763,0,0,0,"",[],umls_no_optimuskg_match
413,hepatomegaly,C0019209,1,0,1,HP_0002240,[],umls_unique_other
414,hepatotoxicity,C0235378,0,0,0,"",[],umls_no_optimuskg_match
415,hernia,C0019270,1,0,1,HP_0100790,[],umls_unique_other
416,herpes simplex,C0019348,0,0,0,"",[],umls_no_optimuskg_match
417,herpes virus infection,C0019372,0,0,0,"",[],umls_no_optimuskg_match
418,herpes zoster,C0019360,0,0,0,"",[],umls_no_optimuskg_match
419,hiatus hernia,C3489393,1,0,1,HP_0002036,[],umls_unique_other
420,hiccups,C0019521,0,0,0,"",[],umls_no_optimuskg_match
421,hirsutism,C0019572,1,0,1,HP_0001007,[],umls_unique_other
422,hostility,C0020039,0,0,0,"",[],umls_no_optimuskg_match
423,hot flush,C0600142,0,0,0,"",[],umls_no_optimuskg_match
424,hyperacusis,C0034880,0,0,0,"",[],umls_no_optimuskg_match
425,venous congestion,"",0,0,0,"",[],no_sider_umls
426,allodynia mechanical,"",0,0,0,"",[],no_sider_umls
427,bilirubin blood,"",0,0,0,"",[],no_sider_umls
428,high calcium blood,"",0,0,0,"",[],no_sider_umls
429,high calcium urine,"",0,0,0,"",[],no_sider_umls
430,high cholesterol blood,"",0,0,0,"",[],no_sider_umls
431,high blood sugar,"",0,0,0,"",[],no_sider_umls
432,hyperhidrosis,C0020458,1,0,1,HP_0000975,[],umls_unique_other
433,high potassium blood,"",0,0,0,"",[],no_sider_umls
434,hyperkeratosis,C0870082,1,0,1,HP_0000962,[],umls_unique_other
435,movement function hyperactivity,"",0,0,0,"",[],no_sider_umls
436,high lactic acid blood,"",0,0,0,"",[],no_sider_umls
437,high levels of lipids,"",0,0,0,"",[],no_sider_umls
438,high magnesium blood,"",0,0,0,"",[],no_sider_umls
439,salt retention,"",0,0,0,"",[],no_sider_umls
440,pain allergy,"",0,0,0,"",[],no_sider_umls
441,high phosphorus blood,"",0,0,0,"",[],no_sider_umls
442,exaggerated reflexes,"",0,0,0,"",[],no_sider_umls
443,hypersensitivity,C0020517,0,0,0,"",[],umls_no_optimuskg_match
444,sleep excessive,"",0,0,0,"",[],no_sider_umls
445,hypertension,C0020538,1,0,1,HP_0000822,[],umls_unique_other
446,hyperthyroidism,C0020550,0,0,0,"",[],umls_no_optimuskg_match
447,tone increased,"",0,0,0,"",[],no_sider_umls
448,hypertrichosis,C0020555,1,0,1,HP_0000998,[],umls_unique_other
