matrix_index,side_effect_name,sider_umls_cui,meddra_id,meddra_name,canonical_optimuskg_id,alias_optimuskg_ids,mapping_method,mapping_status,requires_review
489,infestation,C1384353,10061217,Infestation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
490,inflammation,C0021368,10061218,Inflammation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
492,influenza like illness,C0521839,10022004,Influenza like illness,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
493,infusion site pain,C1096035,10053483,Infusion site pain,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
494,infusion site reaction,C1096343,10054996,Infusion site reaction,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
495,injection site bruising,C0521508,10022052,Injection site bruising,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
496,injection site erythema,C0852625,10022061,Injection site erythema,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
497,injection site haemorrhage,C0151698,10022067,Injection site haemorrhage,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
498,injection site hardening,,,,,[],,unresolved,True
499,injection site inflammation,C0151734,10022078,Injection site inflammation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
500,injection site pain,C0151828,10022086,Injection site pain,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
501,injection site pruritus,C0852995,10022093,Injection site pruritus,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
503,injection site swelling,C0151605,10053425,Injection site swelling,,[],exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
504,injury,C3263723,10022116,Injury,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
506,instillation site pain,C0858797,10022459,Instillation site pain,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
507,intermittent claudication,C0021775,10022562,Intermittent claudication,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
508,international normalised ratio increased,C0853225,10022595,International normalised ratio increased,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
510,intestinal obstruction,C0021843,10022687,Intestinal obstruction,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
511,intestinal perforation,C0021845,10022694,Intestinal perforation,,[],sider_umls_pt,meddra_resolved_but_not_in_optimuskg,True
512,intracranial pressure increased,C0151740,10022773,Intracranial pressure increased,,"[""HP_0002516""]",exact_meddra_pt_name,meddra_resolved_but_not_in_optimuskg,True
