matrix_index,drug_name,stitch_id,stitch_found,distinct_stitch_inchikey_count,optimuskg_structure_match_count,optimuskg_structure_match_ids,structure_status
186,cimetidine,CIDm00002756,true,15,2,"[""CHEMBL1201051"",""CHEMBL30""]",multiple_structure_matches
187,haloperidol,CIDm00003559,true,16,2,"[""CHEMBL4297147"",""CHEMBL54""]",multiple_structure_matches
188,ritonavir,CIDm00392622,false,0,0,[],stitch_not_found
189,nitazoxanide,CIDm00041684,true,3,1,"[""CHEMBL1401""]",unique_structure_match
190,vancomycin,CIDm00014969,false,0,0,[],stitch_not_found
191,dextromethorphan,CIDm05360696,false,0,0,[],stitch_not_found
192,albendazole,CIDm00002082,true,8,1,"[""CHEMBL1483""]",unique_structure_match
193,trandolapril,CIDm05484727,false,0,0,[],stitch_not_found
194,caspofungin,CIDm02826718,false,0,0,[],stitch_not_found
195,alitretinoin,CIDm00449171,false,0,0,[],stitch_not_found
196,metolazone,CIDm00004170,true,10,1,"[""CHEMBL878""]",unique_structure_match
197,oxaliplatin,CIDm00004609,true,74,4,"[""DRUGBANK:DB00526"",""DRUGBANK:DB00958"",""DRUGBANK:DB12257"",""DRUGBANK:DB13145""]",multiple_structure_matches
198,lercanidipine,CIDm00065866,true,33,2,"[""CHEMBL2106419"",""CHEMBL250270""]",multiple_structure_matches
199,foscarnet,CIDm00003414,true,31,2,"[""CHEMBL666"",""CHEMBL754""]",multiple_structure_matches
200,erlotinib,CIDm00176870,true,67,2,"[""CHEMBL1079742"",""CHEMBL553""]",multiple_structure_matches
201,cyclophosphamide,CIDm00002907,true,190,2,"[""CHEMBL1200796"",""CHEMBL88""]",multiple_structure_matches
202,rofecoxib,CIDm00005090,true,15,1,"[""CHEMBL122""]",unique_structure_match
203,ciprofloxacin,CIDm00002764,true,47,2,"[""CHEMBL1202"",""CHEMBL8""]",multiple_structure_matches
204,gadoversetamide,CIDm00444013,true,3,0,[],stitch_found_no_optimuskg_match
205,toremifene,CIDm03005572,false,0,0,[],stitch_not_found
206,vincristine,CIDm06324671,false,0,0,[],stitch_not_found
207,benazepril,CIDm05362123,false,0,0,[],stitch_not_found
208,fluorouracil,CIDm00003385,true,20,1,"[""CHEMBL185""]",unique_structure_match
209,pyridostigmine,CIDm00004991,true,9,2,"[""CHEMBL1115"",""CHEMBL812""]",multiple_structure_matches
210,azelaic.acid,CIDm00002266,true,37,1,"[""CHEMBL1238""]",unique_structure_match
211,zafirlukast,CIDm00005717,true,142,1,"[""CHEMBL603""]",unique_structure_match
212,pentostatin,CIDm00439693,false,0,0,[],stitch_not_found
213,piroxicam,CIDm23690938,true,23,1,"[""CHEMBL527""]",unique_structure_match
214,lamotrigine,CIDm00003878,true,15,1,"[""CHEMBL741""]",unique_structure_match
215,zanamivir,CIDm00060855,false,0,0,[],stitch_not_found
216,bosentan,CIDm00104865,true,51,1,"[""CHEMBL957""]",unique_structure_match
217,tigecycline,CIDm54686904,false,0,0,[],stitch_not_found
218,methotrexate,CIDm00126941,false,0,0,[],stitch_not_found
219,carbamazepine,CIDm00002554,true,14,1,"[""CHEMBL108""]",unique_structure_match
220,cisatracurium,CIDm00062886,false,0,0,[],stitch_not_found
221,fondaparinux,CIDm00636380,false,0,0,[],stitch_not_found
222,propranolol,CIDm00004946,true,122,3,"[""CHEMBL1671"",""CHEMBL27"",""CHEMBL275742""]",multiple_structure_matches
223,clonidine,CIDm00002803,true,24,2,"[""CHEMBL134"",""CHEMBL1705""]",multiple_structure_matches
224,valaciclovir,CIDm00060772,false,0,0,[],stitch_not_found
225,valdecoxib,CIDm00119607,true,11,1,"[""CHEMBL865""]",unique_structure_match
226,voriconazole,CIDm00071616,true,54,1,"[""CHEMBL638""]",unique_structure_match
227,levocarnitine,CIDm00010917,false,0,0,[],stitch_not_found
228,enalapril,CIDm05388961,false,0,0,[],stitch_not_found
229,nizatidine,CIDm03033637,false,0,0,[],stitch_not_found
230,diclofenac,CIDm00003032,true,42,3,"[""CHEMBL1034"",""CHEMBL1200804"",""CHEMBL139""]",multiple_structure_matches
231,doxazosin,CIDm00003157,true,151,2,"[""CHEMBL1200561"",""CHEMBL707""]",multiple_structure_matches
232,amiloride,CIDm00016230,true,16,2,"[""CHEMBL1398126"",""CHEMBL945""]",multiple_structure_matches
233,gadoteridol,CIDm00060714,false,0,0,[],stitch_not_found
234,labetalol,CIDm00003869,true,27,4,"[""CHEMBL1200323"",""CHEMBL1204165"",""CHEMBL27193"",""CHEMBL429""]",multiple_structure_matches
235,linezolid,CIDm00441401,false,0,0,[],stitch_not_found
236,ivermectin,CIDm06435110,true,13,2,"[""CHEMBL1200633"",""DRUGBANK:DB00602""]",equivalent_structure_group
237,medroxyprogesterone,CIDm00010631,true,27,0,[],stitch_found_no_optimuskg_match
238,butorphanol,CIDm05361092,false,0,0,[],stitch_not_found
239,bisoprolol,CIDm00002405,true,28,2,"[""CHEMBL1472989"",""CHEMBL645""]",multiple_structure_matches
