matrix_index,side_effect_name,sider_umls_cui,optimuskg_id,optimuskg_name,ontology_namespace,optimuskg_umls_cui,optimuskg_code,is_meddra,was_previous_name_candidate
268,dyspareunia,C1384606,HP_0030016,Dyspareunia,HPO,C1384606,http://purl.obolibrary.org/obo/HP_0030016,false,true
270,dysphagia,C0011168,HP_0002015,Dysphagia,HPO,C0011168,http://purl.obolibrary.org/obo/HP_0002015,false,true
278,ear pain,C0013456,HP_0030766,Ear pain,HPO,C0013456,http://purl.obolibrary.org/obo/HP_0030766,false,true
280,eczema,C0013595,HP_0000964,Eczematoid dermatitis,HPO,C0013595,http://purl.obolibrary.org/obo/HP_0000964,false,true
284,electrocardiogram abnormal,C0522055,HP_0003115,Abnormal EKG,HPO,"",http://purl.obolibrary.org/obo/HP_0003115,false,false
284,electrocardiogram abnormal,C0522055,HP_0011675,Arrhythmia,HPO,C0264886,http://purl.obolibrary.org/obo/HP_0011675,false,false
285,electrocardiogram qt prolonged,C0151878,HP_0001657,Prolonged QT interval,HPO,"",http://purl.obolibrary.org/obo/HP_0001657,false,false
287,electroencephalogram abnormal,C0151611,HP_0002353,EEG abnormality,HPO,"",http://purl.obolibrary.org/obo/HP_0002353,false,true
293,encephalopathy,C0085584,HP_0001298,Encephalopathy,HPO,"",http://purl.obolibrary.org/obo/HP_0001298,false,true
294,endocrine disorder,C0014130,HP_0000818,Abnormality of the endocrine system,HPO,"",http://purl.obolibrary.org/obo/HP_0000818,false,false
300,eosinophilia,C0014457,HP_0001880,Eosinophilia,HPO,"",http://purl.obolibrary.org/obo/HP_0001880,false,true
301,epididymitis,C0014534,HP_0000031,Epididymitis,HPO,"",http://purl.obolibrary.org/obo/HP_0000031,false,true
304,erectile dysfunction,C0242350,HP_0000802,Impotence,HPO,C0242350,http://purl.obolibrary.org/obo/HP_0000802,false,false
306,erythema,C0041834,HP_0010783,Erythema,HPO,"",http://purl.obolibrary.org/obo/HP_0010783,false,true
308,erythema nodosum,C0014743,HP_0012219,Erythema nodosum,HPO,"",http://purl.obolibrary.org/obo/HP_0012219,false,true
312,exophthalmos,C0015300,HP_0000520,Proptosis,HPO,"",http://purl.obolibrary.org/obo/HP_0000520,false,true
318,eye disorder,C0015397,HP_0000478,Abnormality of the eye,HPO,"",http://purl.obolibrary.org/obo/HP_0000478,false,false
323,eye pain,C0151827,HP_0200026,Ocular pain,HPO,C0151827,http://purl.obolibrary.org/obo/HP_0200026,false,true
327,face oedema,C0542571,HP_0000282,Facial edema,HPO,"",http://purl.obolibrary.org/obo/HP_0000282,false,false
332,fatigue,C0015672,HP_0012378,Fatigue,HPO,C0015672,http://purl.obolibrary.org/obo/HP_0012378,false,true
340,flank pain,C0016199,HP_0030157,Flank pain,HPO,"",http://purl.obolibrary.org/obo/HP_0030157,false,true
343,fluid overload,C0546817,HP_0011105,Hypervolemia,HPO,"",http://purl.obolibrary.org/obo/HP_0011105,false,false
345,flushing,C0016382,HP_0010783,Erythema,HPO,"",http://purl.obolibrary.org/obo/HP_0010783,false,false
353,gait disturbance,C0575081,HP_0001288,Gait disturbance,HPO,C0575081,http://purl.obolibrary.org/obo/HP_0001288,false,true
361,gastrointestinal disorder,C0017178,HP_0011024,Abnormality of the gastrointestinal tract,HPO,C0017178,http://purl.obolibrary.org/obo/HP_0011024,false,false
362,gastrointestinal haemorrhage,C0017181,HP_0002239,Gastrointestinal hemorrhage,HPO,"",http://purl.obolibrary.org/obo/HP_0002239,false,true
363,gastrointestinal infection,C1264613,HP_0004798,Recurrent infection of the gastrointestinal tract,HPO,"",http://purl.obolibrary.org/obo/HP_0004798,false,false
370,gingival bleeding,C0017565,HP_0000225,Gingival bleeding,HPO,"",http://purl.obolibrary.org/obo/HP_0000225,false,true
372,gingivitis,C0017574,HP_0000230,Gingivitis,HPO,C0017574,http://purl.obolibrary.org/obo/HP_0000230,false,true
378,goitre,C0018021,HP_0000853,Goiter,HPO,C0018021,http://purl.obolibrary.org/obo/HP_0000853,false,true
379,gout,C0018099,HP_0001997,Gout,HPO,C0003868,http://purl.obolibrary.org/obo/HP_0001997,false,true
388,haemoglobin decreased,C0162119,HP_0001903,Anemia,HPO,"",http://purl.obolibrary.org/obo/HP_0001903,false,false
394,haemorrhagic disorder,C0019087,HP_0001928,Abnormality of coagulation,HPO,"",http://purl.obolibrary.org/obo/HP_0001928,false,false
399,hallucination,C0018524,HP_0000738,Hallucinations,HPO,C0018524,http://purl.obolibrary.org/obo/HP_0000738,false,true
401,headache,C0018681,HP_0002315,Headache,HPO,"",http://purl.obolibrary.org/obo/HP_0002315,false,true
404,hepatic enzyme increased,C0235996,HP_0002910,Elevated circulating hepatic transaminase concentration,HPO,"",http://purl.obolibrary.org/obo/HP_0002910,false,false
405,hepatic failure,C0085605,HP_0001399,Hepatic failure,HPO,C0085605,http://purl.obolibrary.org/obo/HP_0001399,false,true
406,hepatic function abnormal,C0086565,HP_0001410,Decreased liver function,HPO,"",http://purl.obolibrary.org/obo/HP_0001410,false,false
406,hepatic function abnormal,C0086565,HP_0002910,Elevated circulating hepatic transaminase concentration,HPO,"",http://purl.obolibrary.org/obo/HP_0002910,false,false
407,hepatic necrosis,C0151798,HP_0002605,Hepatic necrosis,HPO,C0151798,http://purl.obolibrary.org/obo/HP_0002605,false,true
408,hepatic steatosis,C2711227,HP_0001397,Hepatic steatosis,HPO,C2711227,http://purl.obolibrary.org/obo/HP_0001397,false,true
