matrix_index,drug_name,stitch_id,name_resolution_status,name_selected_id,name_candidate_ids,structure_status,structure_match_ids,intersection_ids,proposed_optimuskg_id,evidence_class,confidence,final_status
95,bexarotene,CIDm00082146,resolved,CHEMBL1023,"[""CHEMBL1023""]",unique_structure_match,"[""CHEMBL1023""]","[""CHEMBL1023""]",CHEMBL1023,confirmed_name_structure,very_high,resolved
96,ibutilide,CIDm00060752,resolved,CHEMBL533,"[""CHEMBL533""]",multiple_structure_matches,"[""CHEMBL2355456"",""CHEMBL533""]","[""CHEMBL533""]",CHEMBL533,confirmed_name_structure,very_high,resolved
97,chlortalidone,CIDm00002732,resolved,CHEMBL1055,"[""CHEMBL1055""]",multiple_structure_matches,"[""CHEMBL1055"",""CHEMBL402262""]","[""CHEMBL1055""]",CHEMBL1055,confirmed_name_structure,very_high,resolved
98,valproic.acid,CIDm00003121,resolved,CHEMBL109,[],multiple_structure_matches,"[""CHEMBL109"",""CHEMBL2105613"",""CHEMBL2315212"",""CHEMBL433""]",[],CHEMBL109,confirmed_name_structure,very_high,resolved
99,zolmitriptan,CIDm00060857,resolved,CHEMBL1185,"[""CHEMBL1185""]",stitch_not_found,[],[],CHEMBL1185,name_only_resolved,high,resolved
100,paracetamol,CIDm00001983,resolved,CHEMBL112,"[""CHEMBL112""]",unique_structure_match,"[""CHEMBL112""]","[""CHEMBL112""]",CHEMBL112,confirmed_name_structure,very_high,resolved
101,gefitinib,CIDm00123631,resolved,CHEMBL939,"[""CHEMBL939""]",unique_structure_match,"[""CHEMBL939""]","[""CHEMBL939""]",CHEMBL939,confirmed_name_structure,very_high,resolved
102,piperacillin,CIDm00043672,resolved,CHEMBL702,"[""CHEMBL1200820"",""CHEMBL702""]",stitch_not_found,[],[],CHEMBL702,supported_canonical_name,high,resolved
103,dihydroergotamine,CIDm00010531,resolved,CHEMBL1732,"[""CHEMBL1732""]",stitch_not_found,[],[],CHEMBL1732,name_only_resolved,high,resolved
104,tolcapone,CIDm04659569,resolved,CHEMBL1324,"[""CHEMBL1324""]",unique_structure_match,"[""CHEMBL1324""]","[""CHEMBL1324""]",CHEMBL1324,confirmed_name_structure,very_high,resolved
105,hydromorphone,CIDm05284570,resolved,CHEMBL398707,"[""CHEMBL398707""]",stitch_not_found,[],[],CHEMBL398707,name_only_resolved,high,resolved
106,indometacin,CIDm00003715,resolved,CHEMBL6,"[""CHEMBL6""]",multiple_structure_matches,"[""CHEMBL3989410"",""CHEMBL6""]","[""CHEMBL6""]",CHEMBL6,confirmed_name_structure,very_high,resolved
107,metformin,CIDm00004091,ambiguous,"","[""CHEMBL1431"",""RXNORM:6809""]",multiple_structure_matches,"[""CHEMBL1431"",""CHEMBL1703""]","[""CHEMBL1431""]",CHEMBL1431,resolved_by_unique_intersection,very_high,resolved
108,ipratropium.bromide,CIDm00003746,resolved,CHEMBL2134724,[],stitch_found_no_optimuskg_match,[],[],CHEMBL2134724,name_only_resolved,high,resolved
109,olanzapine,CIDm00004585,resolved,CHEMBL715,"[""CHEMBL715""]",stitch_found_no_optimuskg_match,[],[],CHEMBL715,name_only_resolved,high,resolved
