node_id,node_type,name,source
BIOKORF_DRUG_148,BIOKORF_DRUG,hyoscyamine,BioKORF
BIOKORF_DRUG_149,BIOKORF_DRUG,zolpidem,BioKORF
BIOKORF_DRUG_150,BIOKORF_DRUG,famciclovir,BioKORF
BIOKORF_DRUG_151,BIOKORF_DRUG,streptozocin,BioKORF
BIOKORF_DRUG_152,BIOKORF_DRUG,allopurinol,BioKORF
BIOKORF_DRUG_153,BIOKORF_DRUG,ceftazidime,BioKORF
BIOKORF_DRUG_154,BIOKORF_DRUG,cerivastatin,BioKORF
BIOKORF_DRUG_155,BIOKORF_DRUG,trimethoprim,BioKORF
BIOKORF_DRUG_156,BIOKORF_DRUG,gemcitabine,BioKORF
BIOKORF_DRUG_157,BIOKORF_DRUG,entecavir,BioKORF
BIOKORF_DRUG_158,BIOKORF_DRUG,teniposide,BioKORF
BIOKORF_DRUG_159,BIOKORF_DRUG,epirubicin,BioKORF
BIOKORF_DRUG_160,BIOKORF_DRUG,lansoprazole,BioKORF
BIOKORF_DRUG_161,BIOKORF_DRUG,loratadine,BioKORF
BIOKORF_DRUG_162,BIOKORF_DRUG,prazosin,BioKORF
BIOKORF_DRUG_163,BIOKORF_DRUG,imipramine,BioKORF
BIOKORF_DRUG_164,BIOKORF_DRUG,acitretin,BioKORF
BIOKORF_DRUG_165,BIOKORF_DRUG,verteporfin,BioKORF
BIOKORF_DRUG_166,BIOKORF_DRUG,nabumetone,BioKORF
BIOKORF_DRUG_167,BIOKORF_DRUG,ketorolac,BioKORF
BIOKORF_DRUG_168,BIOKORF_DRUG,montelukast,BioKORF
BIOKORF_DRUG_169,BIOKORF_DRUG,fluoxetine,BioKORF
BIOKORF_DRUG_170,BIOKORF_DRUG,duloxetine,BioKORF
BIOKORF_DRUG_171,BIOKORF_DRUG,rimantadine,BioKORF
BIOKORF_DRUG_172,BIOKORF_DRUG,lenalidomide,BioKORF
BIOKORF_DRUG_173,BIOKORF_DRUG,raloxifene,BioKORF
BIOKORF_DRUG_174,BIOKORF_DRUG,celecoxib,BioKORF
BIOKORF_DRUG_175,BIOKORF_DRUG,brimonidine,BioKORF
BIOKORF_DRUG_176,BIOKORF_DRUG,dicloxacillin,BioKORF
BIOKORF_DRUG_177,BIOKORF_DRUG,nabilone,BioKORF
BIOKORF_DRUG_178,BIOKORF_DRUG,sotalol,BioKORF
BIOKORF_DRUG_179,BIOKORF_DRUG,buspirone,BioKORF
BIOKORF_DRUG_180,BIOKORF_DRUG,fosinopril,BioKORF
BIOKORF_DRUG_181,BIOKORF_DRUG,entacapone,BioKORF
BIOKORF_DRUG_182,BIOKORF_DRUG,zidovudine,BioKORF
BIOKORF_DRUG_183,BIOKORF_DRUG,darifenacin,BioKORF
BIOKORF_DRUG_184,BIOKORF_DRUG,oxycodone,BioKORF
BIOKORF_DRUG_185,BIOKORF_DRUG,flutamide,BioKORF
BIOKORF_DRUG_186,BIOKORF_DRUG,cimetidine,BioKORF
BIOKORF_DRUG_187,BIOKORF_DRUG,haloperidol,BioKORF
BIOKORF_DRUG_188,BIOKORF_DRUG,ritonavir,BioKORF
BIOKORF_DRUG_189,BIOKORF_DRUG,nitazoxanide,BioKORF
BIOKORF_DRUG_190,BIOKORF_DRUG,vancomycin,BioKORF
BIOKORF_DRUG_191,BIOKORF_DRUG,dextromethorphan,BioKORF
BIOKORF_DRUG_192,BIOKORF_DRUG,albendazole,BioKORF
BIOKORF_DRUG_193,BIOKORF_DRUG,trandolapril,BioKORF
BIOKORF_DRUG_194,BIOKORF_DRUG,caspofungin,BioKORF
BIOKORF_DRUG_195,BIOKORF_DRUG,alitretinoin,BioKORF
BIOKORF_DRUG_196,BIOKORF_DRUG,metolazone,BioKORF
BIOKORF_DRUG_197,BIOKORF_DRUG,oxaliplatin,BioKORF
BIOKORF_DRUG_198,BIOKORF_DRUG,lercanidipine,BioKORF
BIOKORF_DRUG_199,BIOKORF_DRUG,foscarnet,BioKORF
BIOKORF_DRUG_200,BIOKORF_DRUG,erlotinib,BioKORF
BIOKORF_DRUG_201,BIOKORF_DRUG,cyclophosphamide,BioKORF
BIOKORF_DRUG_202,BIOKORF_DRUG,rofecoxib,BioKORF
BIOKORF_DRUG_203,BIOKORF_DRUG,ciprofloxacin,BioKORF
BIOKORF_DRUG_204,BIOKORF_DRUG,gadoversetamide,BioKORF
BIOKORF_DRUG_205,BIOKORF_DRUG,toremifene,BioKORF
BIOKORF_DRUG_206,BIOKORF_DRUG,vincristine,BioKORF
BIOKORF_DRUG_207,BIOKORF_DRUG,benazepril,BioKORF
BIOKORF_DRUG_208,BIOKORF_DRUG,fluorouracil,BioKORF
BIOKORF_DRUG_209,BIOKORF_DRUG,pyridostigmine,BioKORF
BIOKORF_DRUG_210,BIOKORF_DRUG,azelaic.acid,BioKORF
BIOKORF_DRUG_211,BIOKORF_DRUG,zafirlukast,BioKORF
BIOKORF_DRUG_212,BIOKORF_DRUG,pentostatin,BioKORF
BIOKORF_DRUG_213,BIOKORF_DRUG,piroxicam,BioKORF
BIOKORF_DRUG_214,BIOKORF_DRUG,lamotrigine,BioKORF
BIOKORF_DRUG_215,BIOKORF_DRUG,zanamivir,BioKORF
BIOKORF_DRUG_216,BIOKORF_DRUG,bosentan,BioKORF
BIOKORF_DRUG_217,BIOKORF_DRUG,tigecycline,BioKORF
BIOKORF_DRUG_218,BIOKORF_DRUG,methotrexate,BioKORF
BIOKORF_DRUG_219,BIOKORF_DRUG,carbamazepine,BioKORF
BIOKORF_DRUG_220,BIOKORF_DRUG,cisatracurium,BioKORF
BIOKORF_DRUG_221,BIOKORF_DRUG,fondaparinux,BioKORF
BIOKORF_DRUG_222,BIOKORF_DRUG,propranolol,BioKORF
BIOKORF_DRUG_223,BIOKORF_DRUG,clonidine,BioKORF
BIOKORF_DRUG_224,BIOKORF_DRUG,valaciclovir,BioKORF
BIOKORF_DRUG_225,BIOKORF_DRUG,valdecoxib,BioKORF
BIOKORF_DRUG_226,BIOKORF_DRUG,voriconazole,BioKORF
BIOKORF_DRUG_227,BIOKORF_DRUG,levocarnitine,BioKORF
BIOKORF_DRUG_228,BIOKORF_DRUG,enalapril,BioKORF
BIOKORF_DRUG_229,BIOKORF_DRUG,nizatidine,BioKORF
BIOKORF_DRUG_230,BIOKORF_DRUG,diclofenac,BioKORF
BIOKORF_DRUG_231,BIOKORF_DRUG,doxazosin,BioKORF
BIOKORF_DRUG_232,BIOKORF_DRUG,amiloride,BioKORF
BIOKORF_DRUG_233,BIOKORF_DRUG,gadoteridol,BioKORF
BIOKORF_DRUG_234,BIOKORF_DRUG,labetalol,BioKORF
BIOKORF_DRUG_235,BIOKORF_DRUG,linezolid,BioKORF
BIOKORF_DRUG_236,BIOKORF_DRUG,ivermectin,BioKORF
BIOKORF_DRUG_237,BIOKORF_DRUG,medroxyprogesterone,BioKORF
BIOKORF_DRUG_238,BIOKORF_DRUG,butorphanol,BioKORF
BIOKORF_DRUG_239,BIOKORF_DRUG,bisoprolol,BioKORF
BIOKORF_DRUG_240,BIOKORF_DRUG,rifabutin,BioKORF
BIOKORF_DRUG_241,BIOKORF_DRUG,imatinib,BioKORF
BIOKORF_DRUG_242,BIOKORF_DRUG,triamcinolone,BioKORF
BIOKORF_DRUG_243,BIOKORF_DRUG,testosterone,BioKORF
BIOKORF_DRUG_244,BIOKORF_DRUG,efavirenz,BioKORF
BIOKORF_DRUG_245,BIOKORF_DRUG,alendronic.acid,BioKORF
BIOKORF_DRUG_246,BIOKORF_DRUG,clofarabine,BioKORF
BIOKORF_DRUG_247,BIOKORF_DRUG,dexmedetomidine,BioKORF
BIOKORF_DRUG_248,BIOKORF_DRUG,adenosine,BioKORF
BIOKORF_DRUG_249,BIOKORF_DRUG,simvastatin,BioKORF
BIOKORF_DRUG_250,BIOKORF_DRUG,pemetrexed,BioKORF
BIOKORF_DRUG_251,BIOKORF_DRUG,gonadorelin,BioKORF
BIOKORF_DRUG_252,BIOKORF_DRUG,stavudine,BioKORF
BIOKORF_DRUG_253,BIOKORF_DRUG,calcium.folinate,BioKORF
BIOKORF_DRUG_254,BIOKORF_DRUG,latanoprost,BioKORF
BIOKORF_DRUG_255,BIOKORF_DRUG,estrone,BioKORF
BIOKORF_DRUG_256,BIOKORF_DRUG,trazodone,BioKORF
BIOKORF_DRUG_257,BIOKORF_DRUG,sevelamer,BioKORF
BIOKORF_DRUG_258,BIOKORF_DRUG,acamprosate,BioKORF
BIOKORF_DRUG_259,BIOKORF_DRUG,verapamil,BioKORF
BIOKORF_DRUG_260,BIOKORF_DRUG,nilutamide,BioKORF
BIOKORF_DRUG_261,BIOKORF_DRUG,nafarelin,BioKORF
BIOKORF_DRUG_262,BIOKORF_DRUG,sumatriptan,BioKORF
BIOKORF_DRUG_263,BIOKORF_DRUG,cefixime,BioKORF
BIOKORF_DRUG_264,BIOKORF_DRUG,aprepitant,BioKORF
BIOKORF_DRUG_265,BIOKORF_DRUG,galantamine,BioKORF
BIOKORF_DRUG_266,BIOKORF_DRUG,tamoxifen,BioKORF
BIOKORF_DRUG_267,BIOKORF_DRUG,losartan,BioKORF
BIOKORF_DRUG_268,BIOKORF_DRUG,amphotericin.B,BioKORF
BIOKORF_DRUG_269,BIOKORF_DRUG,midazolam,BioKORF
BIOKORF_DRUG_270,BIOKORF_DRUG,tobramycin,BioKORF
BIOKORF_DRUG_271,BIOKORF_DRUG,trovafloxacin,BioKORF
BIOKORF_DRUG_272,BIOKORF_DRUG,pentosan.polysulfate.sodium,BioKORF
BIOKORF_DRUG_273,BIOKORF_DRUG,moexipril,BioKORF
BIOKORF_DRUG_274,BIOKORF_DRUG,phentolamine,BioKORF
BIOKORF_DRUG_275,BIOKORF_DRUG,fluorescein,BioKORF
BIOKORF_DRUG_276,BIOKORF_DRUG,daunorubicin,BioKORF
BIOKORF_DRUG_277,BIOKORF_DRUG,furosemide,BioKORF
BIOKORF_DRUG_278,BIOKORF_DRUG,tizanidine,BioKORF
BIOKORF_DRUG_279,BIOKORF_DRUG,eplerenone,BioKORF
BIOKORF_DRUG_280,BIOKORF_DRUG,amprenavir,BioKORF
BIOKORF_DRUG_281,BIOKORF_DRUG,naltrexone,BioKORF
BIOKORF_DRUG_282,BIOKORF_DRUG,delavirdine,BioKORF
BIOKORF_DRUG_283,BIOKORF_DRUG,tamsulosin,BioKORF
BIOKORF_DRUG_284,BIOKORF_DRUG,porfimer.sodium,BioKORF
BIOKORF_DRUG_285,BIOKORF_DRUG,sufentanil,BioKORF
BIOKORF_DRUG_286,BIOKORF_DRUG,lamivudine,BioKORF
BIOKORF_DRUG_287,BIOKORF_DRUG,ibandronic.acid,BioKORF
BIOKORF_DRUG_288,BIOKORF_DRUG,apomorphine,BioKORF
BIOKORF_DRUG_289,BIOKORF_DRUG,paroxetine,BioKORF
BIOKORF_DRUG_290,BIOKORF_DRUG,adefovir.dipivoxil,BioKORF
BIOKORF_DRUG_291,BIOKORF_DRUG,lisinopril,BioKORF
BIOKORF_DRUG_292,BIOKORF_DRUG,imiquimod,BioKORF
BIOKORF_DRUG_293,BIOKORF_DRUG,glyceryl.trinitrate,BioKORF
BIOKORF_DRUG_294,BIOKORF_DRUG,nateglinide,BioKORF
BIOKORF_DRUG_295,BIOKORF_DRUG,risperidone,BioKORF
BIOKORF_DRUG_296,BIOKORF_DRUG,naftifine,BioKORF
BIOKORF_DRUG_297,BIOKORF_DRUG,esomeprazole,BioKORF
BIOKORF_DRUG_298,BIOKORF_DRUG,pentamidine.isethionate,BioKORF
BIOKORF_DRUG_299,BIOKORF_DRUG,riluzole,BioKORF
BIOKORF_DRUG_300,BIOKORF_DRUG,hydrocortisone,BioKORF
BIOKORF_DRUG_301,BIOKORF_DRUG,mannitol,BioKORF
BIOKORF_DRUG_302,BIOKORF_DRUG,gadobenic.acid,BioKORF
BIOKORF_DRUG_303,BIOKORF_DRUG,modafinil,BioKORF
BIOKORF_DRUG_304,BIOKORF_DRUG,deferoxamine,BioKORF
BIOKORF_DRUG_305,BIOKORF_DRUG,tretinoin,BioKORF
BIOKORF_DRUG_306,BIOKORF_DRUG,dolasetron,BioKORF
BIOKORF_DRUG_307,BIOKORF_DRUG,clopidogrel,BioKORF
BIOKORF_DRUG_308,BIOKORF_DRUG,meropenem,BioKORF
BIOKORF_DRUG_309,BIOKORF_DRUG,irinotecan,BioKORF
BIOKORF_DRUG_310,BIOKORF_DRUG,olopatadine,BioKORF
BIOKORF_DRUG_311,BIOKORF_DRUG,alprostadil,BioKORF
BIOKORF_DRUG_312,BIOKORF_DRUG,etoposide,BioKORF
BIOKORF_DRUG_313,BIOKORF_DRUG,tirofiban,BioKORF
BIOKORF_DRUG_314,BIOKORF_DRUG,oxcarbazepine,BioKORF
BIOKORF_DRUG_315,BIOKORF_DRUG,estradiol,BioKORF
BIOKORF_DRUG_316,BIOKORF_DRUG,aciclovir,BioKORF
BIOKORF_DRUG_317,BIOKORF_DRUG,naproxen,BioKORF
BIOKORF_DRUG_318,BIOKORF_DRUG,perindopril,BioKORF
BIOKORF_DRUG_319,BIOKORF_DRUG,sulfasalazine,BioKORF
BIOKORF_DRUG_320,BIOKORF_DRUG,tazarotene,BioKORF
BIOKORF_DRUG_321,BIOKORF_DRUG,alfentanil,BioKORF
BIOKORF_DRUG_322,BIOKORF_DRUG,dicycloverine,BioKORF
BIOKORF_DRUG_323,BIOKORF_DRUG,pentoxifylline,BioKORF
BIOKORF_DRUG_324,BIOKORF_DRUG,indapamide,BioKORF
BIOKORF_DRUG_325,BIOKORF_DRUG,ribavirin,BioKORF
BIOKORF_DRUG_326,BIOKORF_DRUG,fentanyl,BioKORF
BIOKORF_DRUG_327,BIOKORF_DRUG,meloxicam,BioKORF
BIOKORF_DRUG_328,BIOKORF_DRUG,orciprenaline,BioKORF
BIOKORF_DRUG_329,BIOKORF_DRUG,tadalafil,BioKORF
BIOKORF_DRUG_330,BIOKORF_DRUG,fosfomycin,BioKORF
BIOKORF_DRUG_331,BIOKORF_DRUG,diazepam,BioKORF
BIOKORF_DRUG_332,BIOKORF_DRUG,cefaclor,BioKORF
BIOKORF_DRUG_333,BIOKORF_DRUG,mifepristone,BioKORF
BIOKORF_DRUG_334,BIOKORF_DRUG,donepezil,BioKORF
BIOKORF_DRUG_335,BIOKORF_DRUG,mercaptamine,BioKORF
BIOKORF_DRUG_336,BIOKORF_DRUG,dacarbazine,BioKORF
BIOKORF_DRUG_337,BIOKORF_DRUG,temozolomide,BioKORF
BIOKORF_DRUG_338,BIOKORF_DRUG,aminolevulinic.acid,BioKORF
BIOKORF_DRUG_339,BIOKORF_DRUG,terbinafine,BioKORF
BIOKORF_DRUG_340,BIOKORF_DRUG,penicillamine,BioKORF
BIOKORF_DRUG_341,BIOKORF_DRUG,vardenafil,BioKORF
BIOKORF_DRUG_342,BIOKORF_DRUG,tacrolimus,BioKORF
BIOKORF_DRUG_343,BIOKORF_DRUG,terbutaline,BioKORF
BIOKORF_DRUG_344,BIOKORF_DRUG,conivaptan,BioKORF
BIOKORF_DRUG_345,BIOKORF_DRUG,eprosartan,BioKORF
BIOKORF_DRUG_346,BIOKORF_DRUG,sirolimus,BioKORF
BIOKORF_DRUG_347,BIOKORF_DRUG,emtricitabine,BioKORF
BIOKORF_DRUG_348,BIOKORF_DRUG,quinapril,BioKORF
BIOKORF_DRUG_349,BIOKORF_DRUG,clomifene,BioKORF
BIOKORF_DRUG_350,BIOKORF_DRUG,risedronic.acid,BioKORF
BIOKORF_DRUG_351,BIOKORF_DRUG,bumetanide,BioKORF
BIOKORF_DRUG_352,BIOKORF_DRUG,chlormethine,BioKORF
BIOKORF_DRUG_353,BIOKORF_DRUG,granisetron,BioKORF
BIOKORF_DRUG_354,BIOKORF_DRUG,triazolam,BioKORF
BIOKORF_DRUG_355,BIOKORF_DRUG,remifentanil,BioKORF
BIOKORF_DRUG_356,BIOKORF_DRUG,didanosine,BioKORF
BIOKORF_DRUG_357,BIOKORF_DRUG,ondansetron,BioKORF
BIOKORF_DRUG_358,BIOKORF_DRUG,bimatoprost,BioKORF
BIOKORF_DRUG_359,BIOKORF_DRUG,tiagabine,BioKORF
BIOKORF_DRUG_360,BIOKORF_DRUG,quinidine,BioKORF
BIOKORF_DRUG_361,BIOKORF_DRUG,zonisamide,BioKORF
BIOKORF_DRUG_362,BIOKORF_DRUG,paricalcitol,BioKORF
BIOKORF_DRUG_363,BIOKORF_DRUG,tinidazole,BioKORF
