matrix_index,biokorf_drug_id,drug_name,gene_count,pathway_count,has_gene_evidence,has_pathway_evidence
411,BIOKORF_DRUG_411,levobupivacaine,3,14,True,True
412,BIOKORF_DRUG_412,cromoglicic.acid,1,1,True,True
413,BIOKORF_DRUG_413,ganciclovir,6,9,True,True
414,BIOKORF_DRUG_414,hydroxycarbamide,2,7,True,True
415,BIOKORF_DRUG_415,letrozole,7,26,True,True
416,BIOKORF_DRUG_416,busulfan,6,15,True,True
417,BIOKORF_DRUG_417,metyrapone,6,17,True,True
418,BIOKORF_DRUG_418,cinacalcet,4,18,True,True
419,BIOKORF_DRUG_419,balsalazide,4,30,True,True
420,BIOKORF_DRUG_420,sulfamethoxazole.and.trimethoprim,0,0,False,False
421,BIOKORF_DRUG_421,minocycline,23,156,True,True
422,BIOKORF_DRUG_422,guanfacine,7,23,True,True
423,BIOKORF_DRUG_423,isosorbide.mononitrate,4,8,True,True
424,BIOKORF_DRUG_424,mycophenolic.acid,7,11,True,True
425,BIOKORF_DRUG_425,amlexanox,4,47,True,True
426,BIOKORF_DRUG_426,irbesartan,10,42,True,True
427,BIOKORF_DRUG_427,topotecan,7,19,True,True
428,BIOKORF_DRUG_428,tolterodine,9,18,True,True
429,BIOKORF_DRUG_429,selegiline,12,26,True,True
430,BIOKORF_DRUG_430,fenofibrate,16,46,True,True
431,BIOKORF_DRUG_431,thalidomide,13,72,True,True
432,BIOKORF_DRUG_432,melphalan,2,5,True,True
433,BIOKORF_DRUG_433,memantine,36,30,True,True
434,BIOKORF_DRUG_434,gatifloxacin,2,19,True,True
435,BIOKORF_DRUG_435,lubiprostone,2,2,True,True
436,BIOKORF_DRUG_436,fluocinonide,5,21,True,True
437,BIOKORF_DRUG_437,abacavir,4,17,True,True
438,BIOKORF_DRUG_438,ibuprofen,27,86,True,True
439,BIOKORF_DRUG_439,norfloxacin,6,19,True,True
440,BIOKORF_DRUG_440,amoxicillin,5,19,True,True
441,BIOKORF_DRUG_441,oxybutynin,9,29,True,True
442,BIOKORF_DRUG_442,glipizide,6,33,True,True
443,BIOKORF_DRUG_443,clonazepam,21,24,True,True
444,BIOKORF_DRUG_444,atazanavir,14,38,True,True
445,BIOKORF_DRUG_445,fludarabine,5,16,True,True
446,BIOKORF_DRUG_446,atorvastatin,26,70,True,True
447,BIOKORF_DRUG_447,tegaserod,11,28,True,True
448,BIOKORF_DRUG_448,vigabatrin,3,9,True,True
449,BIOKORF_DRUG_449,streptomycin,2,2,True,True
450,BIOKORF_DRUG_450,orlistat,5,28,True,True
451,BIOKORF_DRUG_451,pilocarpine,6,14,True,True
452,BIOKORF_DRUG_452,iloprost,12,14,True,True
453,BIOKORF_DRUG_453,fluvastatin,0,0,False,False
454,BIOKORF_DRUG_454,leflunomide,6,28,True,True
455,BIOKORF_DRUG_455,rosuvastatin,15,45,True,True
456,BIOKORF_DRUG_456,pimozide,10,75,True,True
457,BIOKORF_DRUG_457,capecitabine,6,14,True,True
458,BIOKORF_DRUG_458,sertraline,16,41,True,True
459,BIOKORF_DRUG_459,heparin,0,0,False,False
460,BIOKORF_DRUG_460,miconazole,37,63,True,True
461,BIOKORF_DRUG_461,nifedipine,28,100,True,True
462,BIOKORF_DRUG_462,atovaquone,4,13,True,True
463,BIOKORF_DRUG_463,amiodarone,31,65,True,True
464,BIOKORF_DRUG_464,gliclazide,5,29,True,True
465,BIOKORF_DRUG_465,bicalutamide,6,20,True,True
466,BIOKORF_DRUG_466,rabeprazole,9,26,True,True
467,BIOKORF_DRUG_467,pioglitazone,8,33,True,True
468,BIOKORF_DRUG_468,carvedilol,30,87,True,True
469,BIOKORF_DRUG_469,levofloxacin,0,0,False,False
470,BIOKORF_DRUG_470,micafungin,2,7,True,True
471,BIOKORF_DRUG_471,doxepin,27,44,True,True
472,BIOKORF_DRUG_472,nefazodone,19,35,True,True
473,BIOKORF_DRUG_473,cefprozil,0,0,False,False
474,BIOKORF_DRUG_474,gemifloxacin,1,7,True,True
475,BIOKORF_DRUG_475,bupropion,10,25,True,True
476,BIOKORF_DRUG_476,trimetrexate,2,3,True,True
477,BIOKORF_DRUG_477,terazosin,8,30,True,True
478,BIOKORF_DRUG_478,ofloxacin,8,27,True,True
479,BIOKORF_DRUG_479,cilostazol,7,16,True,True
480,BIOKORF_DRUG_480,itraconazole,0,0,False,False
481,BIOKORF_DRUG_481,arsenic.trioxide,0,0,False,False
482,BIOKORF_DRUG_482,escitalopram,21,39,True,True
483,BIOKORF_DRUG_483,idarubicin,4,18,True,True
484,BIOKORF_DRUG_484,podophyllotoxin,3,42,True,True
485,BIOKORF_DRUG_485,rescinnamine,0,0,False,False
486,BIOKORF_DRUG_486,ifosfamide,10,15,True,True
487,BIOKORF_DRUG_487,propafenone,8,26,True,True
488,BIOKORF_DRUG_488,pergolide,18,18,True,True
489,BIOKORF_DRUG_489,ciclopirox,1,3,True,True
490,BIOKORF_DRUG_490,desflurane,30,35,True,True
491,BIOKORF_DRUG_491,clindamycin,0,0,False,False
492,BIOKORF_DRUG_492,acebutolol,4,15,True,True
493,BIOKORF_DRUG_493,brinzolamide,6,12,True,True
494,BIOKORF_DRUG_494,flecainide,12,34,True,True
495,BIOKORF_DRUG_495,estramustine,6,24,True,True
496,BIOKORF_DRUG_496,bromocriptine,20,21,True,True
497,BIOKORF_DRUG_497,levetiracetam,3,9,True,True
498,BIOKORF_DRUG_498,nadolol,0,0,False,False
499,BIOKORF_DRUG_499,mitoxantrone,7,27,True,True
500,BIOKORF_DRUG_500,sparfloxacin,5,20,True,True
501,BIOKORF_DRUG_501,clarithromycin,8,19,True,True
502,BIOKORF_DRUG_502,ceftriaxone,8,19,True,True
503,BIOKORF_DRUG_503,estazolam,17,9,True,True
504,BIOKORF_DRUG_504,finasteride,6,11,True,True
505,BIOKORF_DRUG_505,anastrozole,10,22,True,True
506,BIOKORF_DRUG_506,halofantrine,5,14,True,True
507,BIOKORF_DRUG_507,dantrolene,2,2,True,True
508,BIOKORF_DRUG_508,rifaximin,4,12,True,True
509,BIOKORF_DRUG_509,budesonide,18,45,True,True
510,BIOKORF_DRUG_510,aminophylline,7,39,True,True
511,BIOKORF_DRUG_511,quetiapine,32,32,True,True
512,BIOKORF_DRUG_512,paclitaxel,18,71,True,True
